"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_terms"
"23","crg:105332999","crg00071","Fatty acid degradation","105319409/105320064/105321895/105328600/105329007/105332999/105335621/105336470/105341094/105346656/105348652/105326193",12,"105332999","long-chain-fatty-acid--CoA ligase 1"
"24","crg:105333701","crg04146","Peroxisome","105317035/105319409/105320624/105324552/105325181/105328600/105329168/105329358/105332999/105333701/105336995/105338951/105339902/105342001/105346656",15,"105333701","carnitine O-acetyltransferase"
"25","crg:105333877","crg01212","Fatty acid metabolism","105319409/105320064/105320624/105321895/105325272/105329007/105332999/105333877/105341094/105346656/105348652",11,"105333877","elongation of very long chain fatty acids protein 6"
"26","crg:105335621","crg00071","Fatty acid degradation","105319409/105320064/105321895/105328600/105329007/105332999/105335621/105336470/105341094/105346656/105348652/105326193",12,"105335621","enoyl-CoA delta isomerase 3"
"27","crg:105336470","crg00071","Fatty acid degradation","105319409/105320064/105321895/105328600/105329007/105332999/105335621/105336470/105341094/105346656/105348652/105326193",12,"105336470","alcohol dehydrogenase class-3"
"28","crg:105336995","crg04146","Peroxisome","105317035/105319409/105320624/105324552/105325181/105328600/105329168/105329358/105332999/105333701/105336995/105338951/105339902/105342001/105346656",15,"105336995","dehydrogenase/reductase SDR family member 4"
"29","crg:105338951","crg04146","Peroxisome","105317035/105319409/105320624/105324552/105325181/105328600/105329168/105329358/105332999/105333701/105336995/105338951/105339902/105342001/105346656",15,"105338951","alkyldihydroxyacetonephosphate synthase, peroxisomal"
"30","crg:105339902","crg04146","Peroxisome","105317035/105319409/105320624/105324552/105325181/105328600/105329168/105329358/105332999/105333701/105336995/105338951/105339902/105342001/105346656",15,"105339902","catalase"
"31","crg:105341094","crg00071","Fatty acid degradation","105319409/105320064/105321895/105328600/105329007/105332999/105335621/105336470/105341094/105346656/105348652/105326193",12,"105341094","enoyl-CoA hydratase, mitochondrial"
"32","crg:105341094","crg01212","Fatty acid metabolism","105319409/105320064/105320624/105321895/105325272/105329007/105332999/105333877/105341094/105346656/105348652",11,"105341094","enoyl-CoA hydratase, mitochondrial"
"33","crg:105342001","crg04146","Peroxisome","105317035/105319409/105320624/105324552/105325181/105328600/105329168/105329358/105332999/105333701/105336995/105338951/105339902/105342001/105346656",15,"105342001","peroxisomal 2,4-dienoyl-CoA reductase"
"34","crg:105346656","crg01212","Fatty acid metabolism","105319409/105320064/105320624/105321895/105325272/105329007/105332999/105333877/105341094/105346656/105348652",11,"105346656","peroxisomal acyl-coenzyme A oxidase 3"
"35","crg:105346656","crg00071","Fatty acid degradation","105319409/105320064/105321895/105328600/105329007/105332999/105335621/105336470/105341094/105346656/105348652/105326193",12,"105346656","peroxisomal acyl-coenzyme A oxidase 3"
"36","crg:105346656","crg04146","Peroxisome","105317035/105319409/105320624/105324552/105325181/105328600/105329168/105329358/105332999/105333701/105336995/105338951/105339902/105342001/105346656",15,"105346656","peroxisomal acyl-coenzyme A oxidase 3"
"37","crg:105348652","crg01212","Fatty acid metabolism","105319409/105320064/105320624/105321895/105325272/105329007/105332999/105333877/105341094/105346656/105348652",11,"105348652","hydroxyacyl-coenzyme A dehydrogenase, mitochondrial"
"38","crg:105348652","crg00071","Fatty acid degradation","105319409/105320064/105321895/105328600/105329007/105332999/105335621/105336470/105341094/105346656/105348652/105326193",12,"105348652","hydroxyacyl-coenzyme A dehydrogenase, mitochondrial"
