label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,note,compound,compoundId,expectedRtDiff,ppmDiff,parent,Blank1,Blank2,Blank3,Sample_1_1,Sample_2_2,Sample_3_3,Sample_4_1,Sample_5_2,Sample_6_3,Sample_7_1,Sample_8_2,Sample_9_3
g,0,62,9,145.0139,8.473783,0.8531315,,a-ketoglutarate,a-ketoglutarate,-1,6900.449,145.0139,0,4422.838,4075.599,13274.88,70208.67,59319.89,321791.1,287158,397107.8,619808.7,615186.7,500590.2
g,0,63,6,131.0462,8.28051,0.8559588,,Asparagine,Asparagine,-1,7628.152,131.0462,0,0,2357.266,0,65005.08,82068.23,502260.8,544635.8,998591.7,1315016,1100314,1061772
g,0,64,0,188.1042,8.1403,0.2153708,,Homocitrulline,Homocitrulline,-1,5325.813,188.1042,0,0,0,0,0,0,4196.143,6944.996,8630.347,5563.966,8709.154,5057.167
g,0,65,10,104.0354,8.147798,0.8581137,,Serine,Serine,-1,9588.512,104.0354,2324.811,2736.848,4768.37,364958,243975,197556.6,999024.4,844901.2,1707016,2920854,2967745,3129400
g,0,66,10,173.0819,8.071014,0.8508466,,Suberic acid,Suberic acid,-1,5786.166,173.0819,10397.12,3666.951,15149.7,10663.54,223756,214406.9,226830.3,157185.3,172309.1,54461.57,40098.55,57112.14
g,0,67,4,383.1137,8.034104,0.8486974,,S-adenosyl-L-homocysteine,S-adenosyl-L-homocysteine,-1,2623.919,383.1137,0,0,0,0,2115.006,0,4564.787,6704.874,20835.36,20546.63,24457.67,9350.046
g,0,68,9,145.0617,7.959311,0.8575162,,Glutamine,Glutamine,-1,6896.738,145.0617,0,0,0,552596.8,306369,225630.5,1663057,2181542,2576189,5056406,3776353,4726058
g,0,69,5,154.0622,8.651525,0.8512967,,Histidine,Histidine,-1,6495.364,154.0622,0,0,0,25979.25,0,0,0,0,630920.8,507696.8,287072.8,563281.5
g,0,70,6,168.0779,7.620566,0.8504502,,1-Methylhistidine,1-Methylhistidine,-1,5956.956,168.0779,0,0,0,0,0,0,13623.31,20247.6,38237.75,144822.3,86890.94,153992.9
g,0,71,5,341.1088,7.821358,0.8041422,,Sucrose,Sucrose,-1,2944.57,341.1088,0,2229.196,0,5062.72,3582.627,7775.77,10681.62,10714.23,4640.91,4245.018,6337.318,19062.25
g,0,72,8,164.0386,7.825835,0.849413,,Methionine sulfoxide,Methionine sulfoxide,-1,6103.665,164.0386,0,0,0,7707.083,4156.051,3469.969,26054.37,43067.43,48513.34,73271.2,75366.02,78576.66
g,0,73,9,74.02479,7.573959,0.8566359,,Glycine,Glycine,-1,13424.14,74.02479,2686.905,2161.499,0,6634828,2149194,1448201,2.06E+07,1.53E+07,2.63E+07,4.59E+07,4.50E+07,4.99E+07
g,0,74,7,175.0613,7.657273,0.8465067,,2-Isopropylmalic acid,2-Isopropylmalic acid,-1,5720.341,175.0613,2210.482,9473.171,3684.517,22131.37,15522.28,16384.96,116369.8,93783.75,151196.2,215485.4,332152.5,450275.4
g,0,75,6,191.0561,7.61036,0.722274,,Quinic acid,Quinic acid,-1,5244.669,191.0561,5412.378,11775.09,7164.135,33813.18,41735.03,49660.67,80944.4,76527.21,85361.63,128384.4,138453.5,276205.3
g,0,76,9,118.051,7.341376,0.8535101,,Threonine,Threonine,-1,8460.191,118.051,0,1766.702,0,452487.8,210738.8,282568.8,6809502,6214166,1.93E+07,2.02E+07,1.73E+07,2.17E+07
g,0,77,9,88.04037,7.115503,0.8032879,,Alanine,Alanine,-1,11311.93,88.04037,0,24515.42,0,6.69E+07,1.43E+07,1.89E+07,2.21E+08,2.26E+08,4.43E+08,5.49E+08,3.36E+08,4.39E+08
g,0,78,9,135.0298,7.352689,0.8565942,,Threonic acid,Threonic acid,-1,7405.333,135.0298,2983.443,3052.577,2367.877,55666.41,117027.1,122781.7,1078683,393916.5,813038.7,3896553,4257238,1.25E+07
g,0,79,9,130.0509,7.108541,0.8143762,,Hydroxyproline,Hydroxyproline,-1,7685.848,130.0509,3826.116,3917.947,33519.39,7837804,1694184,4014791,3.45E+07,3.65E+07,5.85E+07,6.20E+07,4.68E+07,5.89E+07
g,0,80,9,108.0126,7.067557,0.8570653,,Hypotaurine,Hypotaurine,-1,9238.643,108.0126,2452.449,0,0,1534479,316982.6,397472.2,4717336,3970592,5228077,8385716,8504999,9153237
g,0,81,9,179.0561,6.33328,0.8524666,,Glucose,Glucose,-1,5594.021,179.0561,0,0,2571.344,284424.5,453687.4,286413.4,1407977,1631704,1.59E+07,5801768,1512880,2524737
g,0,82,5,263.0973,6.4249,0.8582557,,Thiamine,Thiamine,-1,3813.535,263.0973,0,0,0,18136.49,0,0,104145.1,51369.97,8684.098,772154.2,1453221,923607.3
g,0,83,9,114.056,6.254787,0.8525034,,Proline,Proline,-1,8754.52,114.056,3893.395,3310.754,16247.1,382194.5,217281.6,128287.3,600284.7,562879.7,714176,795028.4,1022056,1058716
g,0,84,9,181.0718,6.232777,0.8560711,,Sorbitol,Sorbitol,-1,5531.843,181.0718,0,0,3562.449,1758994,706131.2,648679.2,1520018,1440299,1553171,2036869,2538590,3979274
g,0,85,9,128.0715,6.103828,0.8449849,,Pipecolic acid,Pipecolic acid,-1,7804.765,128.0715,3333.578,2379.396,0,21548.46,13054.92,9418.233,57725.04,79251.05,45458.36,75038.59,90448.57,60463.33
g,0,86,9,167.0824,5.478776,0.8538727,,Pyridoxamine,Pyridoxamine,-1,5993.498,167.0824,0,0,0,142797.2,34363.06,77551.44,170710.4,275456.5,615121.8,380980.1,209538.3,232885.7
g,0,87,9,116.0717,5.823614,0.847736,,Valine,Valine,-1,8603.279,116.0717,2659.072,3763.642,23235.72,531069.4,359928.4,247580.1,1184728,1564909,1706519,2517201,1620276,2248950
g,0,88,9,179.056,5.470994,0.8499761,,Fructose,Fructose,-1,5594.615,179.056,0,0,0,259615.1,52820.67,136114.9,1127987,745867.2,1770646,2170172,1085581,2276506
g,0,89,9,180.0666,5.545522,0.8578162,,Tyrosine,Tyrosine,-1,5562.803,180.0666,2033.126,0,0,538430.8,250369.4,141407.6,1473282,1487115,2058964,3648038,2344359,2595188
g,0,90,8,105.0193,4.717311,0.7018038,,Glycerate,Glycerate,-1,9500.17,105.0193,26156.85,60374.74,31441.77,599988,727964.5,718650.8,681550.4,697925.5,687820.7,608738.5,606661.7,638480.6
g,0,91,9,124.0073,5.852471,0.8213839,,Taurine,Taurine,-1,8057.587,124.0073,0,0,2837.751,1.10E+08,2.32E+07,4.05E+07,2.94E+08,2.82E+08,4.21E+08,4.78E+08,3.57E+08,4.04E+08
g,0,92,9,146.0459,5.51597,0.8499108,,o-acetyl-L-serine,o-acetyl-L-serine,-1,6849.653,146.0459,0,0,0,177048.2,399454.2,210019.2,206169.4,177766,417036.8,2279772,1748574,1690254
g,0,93,8,128.0353,5.62044,0.8497708,,Pyroglutamate,Pyroglutamate,-1,7805.665,128.0353,3425.848,31103.52,13311.57,0,121187.8,355799,176119.6,233002.5,764516.6,370018.8,459547.8,293455.3
g,0,94,3,134.028,5.58403,0.8512433,,Homocysteine,Homocysteine,-1,7460.383,134.028,0,0,0,0,0,0,4765.302,13949.33,0,18563.56,22686.13,64760.19
g,0,95,9,151.0612,5.393435,0.8588467,,Ribitol,Ribitol,-1,6623.447,151.0612,5703.798,3732.861,0,411772,36898.91,25059.49,204689.2,474754.1,2287971,2473625,883590.3,1595143
g,0,96,9,148.0437,5.3772,0.8579181,,Methionine,Methionine,-1,6758.557,148.0437,0,0,0,194789.5,142194.6,86934.02,471615.2,863270.8,1135453,2406233,1865090,2957415
g,0,97,9,218.1033,5.153346,0.8562306,,Pantothenate,Pantothenate,-1,4597.609,218.1033,0,0,0,203947,83837.45,159818.2,854017.8,1032609,2214979,2316829,1277391,1862352
g,0,98,9,130.0872,4.995503,0.6546432,,Isoleucine,Isoleucine,-1,7684.646,130.0872,7129.595,18928.58,0,738227.8,493473.2,383703.7,1629557,2426776,2419278,3514618,2163368,3174331
g,0,99,9,149.0455,5.532932,0.8562586,,D-Xylose,D-Xylose,-1,6713.13,149.0455,2139.427,3292.624,0,186808.2,156784.2,313394.9,1103752,390589.3,793898.8,838379.3,692955.7,980038.8
g,0,100,4,151.0262,4.741635,0.843655,,Xanthine,Xanthine,-1,6625.274,151.0262,0,0,0,156431.3,77457.71,55426.67,170576.2,185306.6,237454.6,670272.3,742203.8,833181.2
g,0,101,5,89.02441,4.806482,0.7377899,,Lactate,Lactate,-1,11188.13,89.02441,82507.82,200727,152357.2,3142270,2053209,8139610,4713178,4139993,3910670,1345871,1096488,1147221
g,0,102,8,242.0782,4.518544,0.8325273,,Cytidine,Cytidine,-1,4143.909,242.0782,0,0,0,16951.52,17268.32,0,77536.62,65492.27,153676.9,266821.2,234072.4,224491.3
g,0,103,9,130.0872,4.451942,0.6882766,,Leucine,Leucine,-1,7684.762,130.0872,6836.967,25472.33,40538.71,1269545,905951.8,429612.4,2238930,3018824,4141960,6083010,3509184,5051358
g,0,104,3,207.0773,4.190348,0.8484005,,Kynurenine,Kynurenine,-1,4841.518,207.0773,0,2394.547,0,0,0,0,4740.733,5911.887,4655.177,4075.415,4259.941,15769.72
g,0,105,9,164.0716,4.110104,0.8586052,,Phenylalanine,Phenylalanine,-1,6102.444,164.0716,0,0,0,403397.1,483149.1,171944,1193542,1159901,1770021,1217515,1283676,1577980
g,0,106,9,266.0895,4.38168,0.856401,,Deoxyguanosine,Deoxyguanosine,-1,3771.155,266.0895,0,0,0,246330.1,147936,195988.9,809462.2,52428.42,14130.89,84521.12,970113.3,2002715
g,0,107,9,150.0421,3.885267,0.8417965,,Guanine,Guanine,-1,6668.839,150.0421,0,0,0,28994.54,5502.123,12648.27,21748.48,16735.65,21628.28,25654.03,14959.45,19692.59
g,0,108,5,115.04,4.242568,0.7056487,,Levulinic Acid,Levulinic Acid,-1,8680.155,115.04,24104.3,60388.2,51354.92,67865.41,309022.2,723154.2,460212.4,640305.3,477547,0,86588.41,103402.4
g,0,109,9,203.0826,3.908578,0.8495088,,Tryptophan,Tryptophan,-1,4935.54,203.0826,0,0,0,59633.91,88886.34,73403.19,119815.7,69498.37,77089.99,111006.5,62070.5,71083.8
g,0,110,8,122.0247,3.976148,0.8538395,,Nicotinate,Nicotinate,-1,8187.124,122.0247,5349.53,6291.135,17175.2,4453.068,194975.7,57962.77,735038.5,409554.9,1235840,1140741,843150.8,859799.7
g,0,111,7,251.0786,3.378698,0.8348477,,Deoxyinosine,Deoxyinosine,-1,3995.775,251.0786,0,0,0,3813.889,15187.41,3635.247,7472.983,26296.04,96549.44,63305.63,39557.15,30317.14
g,0,112,4,190.0546,3.216223,0.8472847,,Acetyl-Methionine,Acetyl-Methionine,-1,5270.73,190.0546,0,0,0,0,5186.373,0,3691.503,4186.237,61704.64,13068.11,5949.629,14792.38
g,0,113,10,326.1106,3.068186,0.8562487,,Adenosine (+HAc),unknown,-1,inf,326.1106,1250.246,2637.303,9599.526,18375.96,37728.69,11875.2,233410,1189139,1.00E+07,2.04E+07,7546494,8403920
g,0,114,1,87.00872,3.162858,0.669709,,Pyruvate,Pyruvate,-1,11444.78,87.00872,8502.028,4276.51,17190.62,33373.18,34483.79,127983.7,67614.98,135551.5,193249.6,150670.9,165377.7,118741.3
g,0,115,4,134.0472,3.068848,0.7856603,,Adenine,Adenine,-1,7458.424,134.0472,56995.89,154748.4,112509.1,0,214313.9,0,148534.1,382945.5,2732304,5596848,1850801,2143999
g,0,116,1,188.0355,2.44709,0.80443,,Kynurenic acid,Kynurenic acid,-1,5327.266,188.0355,0,0,0,0,0,0,5047.258,6034.893,0,3090.583,4734.127,13586.63
g,0,117,5,177.0405,2.165613,0.8427692,,Gluconolactone,Gluconolactone,-1,5657.35,177.0405,1973.026,0,0,5455.403,11236.61,0,52730.08,15096.73,87634.2,126908.8,80591.18,163217.8
g,0,118,4,131.0714,2.76679,0.8454133,,Leucic acid,Leucic acid,-1,7625.892,131.0714,2708.798,7596.103,9472.658,62146.65,47911.66,134004.7,62022.85,70119.12,57627.98,6630.492,4935.604,4908.118
g,0,119,7,111.02,2.46515,0.8074836,,Uracil,Uracil,-1,8991.163,111.02,4350.371,8716.53,0,5763.406,548978.7,14040.5,173493.5,230773.7,3559929,3443743,540175.3,817538.1
g,0,120,7,241.0829,2.359092,0.8445619,,Thymidine,Thymidine,-1,4161.134,241.0829,0,0,0,13026.21,44869.39,7774.34,36181.46,190397.8,514979.7,502270.5,272764.2,262734.8
g,0,121,7,159.1024,2.325608,0.8519513,,Hydroxyoctanoic acid,Hydroxyoctanoic acid,-1,6292.597,159.1024,4501.125,10105.98,4382.292,191308.5,180500.8,309945.8,485002.9,227372.9,125568.9,40430.27,8405.985,15254.7
g,0,122,6,356.1034,10.60961,0.8488038,,S-adenosyl-L-methionine,unknown,-1,inf,356.1034,0,0,0,2204.732,0,0,14480.78,15149.52,40615.96,47991.38,43370.89,44518.72
g,0,123,6,212.0024,1.530341,0.8528298,,Indoxyl sulfate,Indoxyl sulfate,-1,4728.149,212.0024,0,0,0,4837.957,0,0,78673.6,53075.86,130342.6,206680.2,167192.4,61587.83
g,0,124,7,363.2192,1.50195,0.8468871,,Tetrahydrocortisone,Tetrahydrocortisone,-1,2761.476,363.2192,0,0,0,10761.37,22337.17,11186.92,43494.32,77007.18,40416.53,57705.3,16285.75,33940.11
g,0,125,6,110.036,3.237782,0.8438018,,Cytosine,Cytosine,-1,9070.702,110.036,1332.375,2434.827,3479.633,2736.585,3158.7,0,12522.82,4260.955,19837.98,25628.13,16189.93,23853.22
g,0,126,5,125.0357,2.265205,0.8408104,,Thymine,Thymine,-1,7991.127,125.0357,1327.508,2459.817,4452.081,3656.283,23002.24,4665.511,5627.029,14792.93,50047.04,53279.58,24170.48,54036.05
g,0,127,9,131.0825,11.49458,0.8563631,,Ornithine,Ornithine,-1,7626.283,131.0825,0,0,1381.601,278970.6,116558.8,137252.5,1333826,1392353,4460612,4079582,2309244,3260021
g,0,128,8,135.03,7.20699,0.8590569,,Hypoxanthine,Hypoxanthine,-1,7413.448,135.03,0,0,0,13514.84,24549.11,48508.8,365741.9,146855.5,498367.1,3699840,4257238,1.25E+07
g,0,129,9,139.9756,6.33417,0.8530885,,Carbamoyl phosphate,Carbamoyl phosphate,-1,7143.18,139.9756,0,0,0,50641.6,16708.7,33124.87,134443.5,122191.5,155670.4,206165.8,166773,180093
g,0,130,6,157.0249,7.584123,0.8457731,,Dihydroorotate,Dihydroorotate,-1,6377.238,157.0249,0,0,0,3818.866,0,3561.045,15524.91,19038.09,16939.03,34382.59,26320.48,42640.9
g,0,131,9,174.0884,8.50389,0.8554058,,Citrulline,Citrulline,-1,5752.906,174.0884,0,0,0,85202.78,72981.04,99812.57,401795.1,635998.2,1142457,1031364,765528.7,1166085
g,0,132,5,184.0017,9.070397,0.8485911,,3-Phosphoserine,3-Phosphoserine,-1,5444.321,184.0017,0,0,0,7032.719,0,0,5835.783,15749.41,20785.9,24135.23,25121.15,31832.94
g,0,133,9,243.0621,3.18082,0.8587223,,Uridine,Uridine,-1,4127.702,243.0621,0,0,0,96166.38,475839.7,47021.8,1222125,1555228,5521438,8547387,3640849,4989484
g,0,134,8,259.0222,11.83993,0.8437655,,Mannose-6-phosphate,Mannose-6-phosphate,-1,3874.585,259.0222,1615.389,0,0,20183.51,15054.08,2764.631,558576.4,423400,1478984,75292.99,33281.61,170257.7
g,0,135,9,267.0722,8.901095,0.8548359,,Inosine,Inosine,-1,3762.207,267.0722,0,0,0,534287.6,220476.2,120837.3,1179469,1192019,1455730,2866202,1986014,2602673
g,0,136,9,282.0844,4.832989,0.8548942,,Guanosine,Guanosine,-1,3557.973,282.0844,0,0,2597.851,31054.62,97998.09,14958.8,103234.7,154737.5,633126.1,1014014,591102.2,648748.8
g,0,137,8,347.0398,10.62231,0.8546022,,IMP,IMP,-1,2894.218,347.0398,0,0,0,0,552049.3,49649.66,783621.8,3293141,2.00E+07,1013988,291138.9,612536.7
g,0,138,5,402.0107,13.05876,0.8456478,,CDP,CDP,-1,2499.754,402.0107,0,0,0,1938.925,2603.284,0,28790.45,13084.57,0,4841.874,3740.31,9295.329
g,0,139,7,402.9965,12.58641,0.848353,,UDP,UDP,-1,2489.435,402.9965,2046.819,2346.419,1758.067,11791.56,2093.264,9855.761,141582.2,107470.6,3647.884,86499.72,67521.79,113886.9
g,0,140,4,442.0189,13.52319,0.8189713,,GDP,GDP,-1,2269.474,442.0189,8334.703,1337.351,12921.09,2358.301,2078.308,8314.479,111991.4,56859.04,2318.723,20470.87,30152.15,38849.4
g,0,141,9,153.1485,12.5431,0.8499122,,NegIS_Lysine-2H8,NegIS_Lysine-2H8,-1,0.4981698,153.1485,0,0,0,57909.12,119948.4,117048.7,147719.5,162778.4,134537.5,138244.6,136208.6,148383.5
g,0,142,8,136.0331,9.622591,0.8597485,,NegIS_Malate-2H3,NegIS_Malate-2H3,-1,0.2243394,136.0331,0,0,1804.314,1891846,2274265,2301385,4262910,3602981,7410980,3908347,4569208,4210748
g,0,143,9,108.0425,8.121848,0.8529639,,NegIS_Serine-13C3-15N1,NegIS_Serine-13C3-15N1,-1,0.5649185,108.0425,0,0,0,167729.3,285882.3,295873.4,344349.7,338672.8,296044.1,292925.8,376082.1,363789.2
g,0,144,9,152.0872,7.971744,0.8583601,,NegIS_Glutamine-2H5-15N2,NegIS_Glutamine-2H5-15N2,-1,0.5016457,152.0872,0,0,0,4724178,9017610,7905112,9520450,8915980,6485738,7361174,8533868,8697680
g,0,145,9,77.02852,7.60335,0.859566,,NegIS_Glycine-13C2_15N1,NegIS_Glycine-13C2_15N1,-1,0.1980928,77.02852,0,0,2142.588,1523266,2727372,2395828,2867741,2741899,2018235,2391010,2731008,2736066
g,0,146,9,93.06251,7.12153,0.804413,,NegIS_Alanine-2H4-15N,NegIS_Alanine-2H4-15N,-1,0.5738695,93.06251,4434.56,3567.939,0,4.18E+07,6.53E+07,5.92E+07,8.52E+07,8.03E+07,5.61E+07,5.80E+07,7.54E+07,6.94E+07
g,0,147,9,192.1202,6.386096,0.8594398,,NegIS_Glucose-2H7-13C6,NegIS_Glucose-2H7-13C6,-1,0,192.1202,0,0,0,2.14E+07,2.61E+07,2.99E+07,2.88E+07,2.66E+07,2.28E+07,2.38E+07,2.15E+07,2.21E+07
