label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,note,compound,compoundId,expectedRtDiff,ppmDiff,parent,Blank1,Blank2,Blank3,Sample_1_1,Sample_2_2,Sample_3_3,Sample_4_1,Sample_5_2,Sample_6_3,Sample_7_1,Sample_8_2,Sample_9_3
g,0,47,9,147.0764,8.0167,0.8609781,,Glutamine,Glutamine,-1,6895.588,147.0764,0,1888.785,0,1595385,840514.2,623380.8,4050423,5363516,6429276,1.16E+07,8681872,1.06E+07
g,0,48,3,156.0767,8.771632,0.5620528,,Histidine,Histidine,-1,6495.561,156.0767,2351.958,3145.665,2506.667,199974,0,0,0,861299.8,2375455,2228246,1561553,2519122
g,0,49,7,170.0924,7.732851,0.8579907,,1-Methylhistidine,1-Methylhistidine,-1,5957.317,170.0924,1739.455,6885.21,3696.469,45609.74,19168.53,0,1109117,1505459,2170577,5091552,3225583,4207056
g,0,50,8,166.054,7.396622,0.8530509,,Methionine sulfoxide,Methionine sulfoxide,-1,6107.548,166.054,0,0,0,7838.695,144585.8,182031.2,269867.7,531266.2,438602.1,323839.7,454503.4,586853.6
g,0,51,10,217.1294,7.76228,0.8565137,,Acetyl-arginine,Acetyl-arginine,-1,4660.053,217.1294,5005.391,3508.514,3964.534,94306.97,29010.96,51787.91,189073.6,241245.5,459398.7,476032.8,421896.3,759648.4
g,0,52,9,162.1124,7.411331,0.803661,,Carnitine,Carnitine,-1,6251.64,162.1124,35959.18,48157.11,0,1.97E+08,1.88E+08,1.93E+08,3.94E+08,3.91E+08,5.56E+08,5.84E+08,4.60E+08,5.54E+08
g,0,53,9,120.0658,7.491587,0.8611616,,Threonine,Threonine,-1,8462.37,120.0658,3446.343,3158.721,3372.143,1018120,724092.2,654007,3936488,3683249,6042356,6078652,5193698,6000438
g,0,54,9,132.0657,7.294935,0.8117024,,Hydroxyproline,Hydroxyproline,-1,7686.896,132.0657,45895.14,55332.55,0,1.35E+07,4720219,8919797,3.07E+07,3.17E+07,4.50E+07,4.76E+07,3.67E+07,4.16E+07
g,0,55,5,132.0769,7.173261,0.8543897,,Creatine,Creatine,-1,7686.121,132.0769,0,3223.079,0,7858.716,322666.3,485711.5,309915.5,742823.8,106821.5,11197.43,0,206467.3
g,0,56,9,110.0274,7.150903,0.8581578,,Hypotaurine,Hypotaurine,-1,9242.632,110.0274,0,2605.695,0,2854450,788113,933355.7,5400548,4812731,5392554,8520819,8692109,8894596
g,0,57,0,76.07539,6.614841,0.2389016,,Trimethylamine oxide,Trimethylamine oxide,-1,13414.07,76.07539,0,0,0,9595.136,7556.61,6521.199,5980.577,10162.47,11228.65,13005.68,18545.12,7918.499
g,0,58,8,265.1114,6.506835,0.8570077,,Thiamine,Thiamine,-1,3812.61,265.1114,0,0,0,144322,3437.146,94286.84,431770.1,252742.5,37700.94,2905018,3543901,3122940
g,0,59,9,116.0709,6.360365,0.74112,,Proline,Proline,-1,8756.575,116.0709,0,37677.34,72603.46,1225037,965987.2,711298.2,2303350,2351524,3128297,2329094,3213981,3608772
g,0,60,9,175.1078,7.744164,0.8579939,,Theanine,Theanine,-1,5785.967,175.1078,2089.764,3655.814,3131.642,3285237,549782.9,1794052,7685156,6497442,1.17E+07,1.14E+07,1.16E+07,1.14E+07
g,0,61,4,130.0863,6.164324,0.7035108,,Pipecolic acid,Pipecolic acid,-1,7803.937,130.0863,13398.21,24116.75,38257.02,14031.81,120278.2,174411.4,638636.7,683068.4,641106.6,867424.2,1181255,837322.3
g,0,62,9,182.0811,5.63003,0.8589195,,Tyrosine,Tyrosine,-1,5562.55,182.0811,0,0,0,1018886,479273.2,237908.7,2420557,2461545,3206967,4918940,3839350,3806362
g,0,63,9,241.1544,5.895086,0.8552223,,Pirbuterol,Pirbuterol,-1,4193.083,241.1544,4282.102,3416.539,0,3404833,518321.4,822782,7228240,6904440,6982532,8013674,7405478,8321088
g,0,64,9,118.0865,5.574033,0.7972161,,Betaine,Betaine,-1,8605.43,118.0865,766357.3,759577.8,460488.5,8.98E+08,4.96E+08,6.41E+08,1.45E+09,1.42E+09,1.70E+09,1.87E+09,1.73E+09,1.87E+09
