"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG15","SG93","SG102","SG2","SG10","SG9","SG118","SG81","SG5","SG101","SG65","SG107","SG109","SG3","SG66","SG12","SG27","SG6","SG91","SG82","SG11","SG16","SG131","SG79","SG1","SG64","SG4","SG13","SG14","SG46","SG108","SG78","SG7","SG80","SG8","up","down"
"317","PGEN_.00g280310",11.4293887285529,4.76943637735971,1.23482733338446,3.86243181408002,0.000112263904843522,0.00805881785028776,4,12,0,15,25,16,10,7,6,4,8,29,4,2,2,34,2,2,8,9,52,14,5,16,12,3,9,1,4,12,7,7,46,4,18,TRUE,FALSE
"318","PGEN_.00g050410",29.8814362597918,-1.45212404127467,0.468813233715094,-3.09744678017591,0.00195195441520445,0.046565959867044,37,33,31,26,34,36,33,39,48,20,31,52,23,18,22,23,7,35,30,29,23,38,51,19,28,24,29,42,30,26,52,32,13,37,28,FALSE,TRUE
"319","PGEN_.00g319930",13.2032763129812,-2.39628715331508,0.718025815735132,-3.337327294927,0.000845882736672642,0.0279729743266614,17,18,8,9,8,11,13,13,24,17,12,17,13,3,11,10,31,20,10,14,14,15,17,3,14,11,13,12,22,8,16,4,6,6,14,FALSE,TRUE
"320","PGEN_.00g117980",50.035984734751,4.95510158161763,1.13964048795382,4.34795151101935,1.37414973844009e-05,0.00223966776655185,6,75,8,89,50,48,65,10,6,50,49,59,26,16,29,66,20,12,41,16,191,21,6,40,63,58,22,32,38,98,14,23,301,7,93,TRUE,FALSE
"321","PGEN_.00g093800",11.0812037026965,5.67776710322378,1.57409289922597,3.60700890399525,0.00030974703529097,0.0154318948717671,3,6,0,1,6,81,16,0,4,11,10,13,7,8,17,22,8,2,12,1,50,4,2,1,28,7,0,6,4,4,3,4,10,5,8,TRUE,FALSE
"322","PGEN_.00g342070",9.62646591226373,4.55684161027527,1.25218232704987,3.63911988840408,0.000273571423070676,0.0144715917693616,2,8,0,14,15,12,10,5,2,4,11,6,7,2,8,27,9,4,7,5,38,7,5,7,8,1,4,3,5,8,1,7,56,4,20,TRUE,FALSE
"323","PGEN_.00g005530",44.3800253626219,4.23247160190911,1.33407649700763,3.17258538877093,0.0015108812199653,0.0397180733607929,17,26,5,38,108,26,46,18,14,51,54,37,17,4,8,94,67,16,23,21,110,32,13,27,16,3,25,7,27,66,20,24,378,6,70,TRUE,FALSE
"324","PGEN_.00g283950",13.6399234581333,-4.67320623898184,1.46322556897141,-3.19377021429917,0.00140427846177595,0.0380428248371303,3,22,4,5,3,15,3,5,80,9,5,6,31,39,3,1,20,16,6,13,10,5,5,3,4,6,11,28,5,1,51,4,5,8,2,FALSE,TRUE
"325","PGEN_.00g164270",41.1979610963846,4.38553139210216,1.39879688824854,3.13521672012967,0.00171727194540715,0.0430601222530774,14,36,6,104,66,60,90,11,6,60,40,34,22,3,7,64,16,7,21,16,163,13,1,50,12,5,40,3,60,123,37,25,186,8,59,TRUE,FALSE
"326","PGEN_.00g348850",34.8184712902749,3.8735943618037,1.09081704000996,3.55109447297262,0.000383632684966161,0.0170306042909686,17,38,12,43,65,67,41,15,18,44,31,34,27,8,25,68,20,20,25,14,162,26,1,25,38,26,23,7,32,46,21,10,112,5,36,TRUE,FALSE
