"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG119","SG86","SG85","SG132","SG75","SG54","SG73","SG47","SG34","SG126","SG68","SG112","SG133","SG52","SG123","SG115","SG122","SG33","SG120","SG111","SG142","SG96","SG113","SG30","SG51","SG83","SG125","SG35","SG84","SG49","SG116","SG136","SG70","SG31","SG121","SG74","SG134","SG56","SG76","SG55","SG48","SG53","SG106","SG104","SG32","SG124","SG29","SG110","SG105","SG72","SG94","SG95","SG135","SG71","SG114","SG69","SG141","SG36","SG67","SG28","SG50","SG103","up","down"
"11","PGEN_.00g209570",8.6098699576616,6.99950710359448,1.82472913424279,3.83591568317841,0.000125097323801096,0.0152632053349818,12,3,6,4,9,12,6,13,9,0,9,17,3,8,5,2,4,7,8,11,12,19,1,0,4,18,3,16,27,26,8,3,4,15,2,8,17,7,4,1,47,5,1,13,25,0,1,5,31,7,5,1,2,15,1,8,4,1,9,9,5,1,TRUE,FALSE
"12","PGEN_.00g110170",2.9884378536535,6.88107743810366,1.79398339836868,3.8356416477214,0.000125236901647903,0.0152632053349818,6,2,2,3,2,1,2,4,0,2,6,3,9,0,3,4,3,2,3,9,1,3,0,2,0,4,0,4,6,13,0,4,0,2,0,0,5,1,5,3,7,5,5,4,1,4,4,4,0,3,3,4,1,1,4,0,4,2,3,4,1,8,TRUE,FALSE
"13","PGEN_.00g256190",4.11375814234173,8.86348020511239,2.37080561648702,3.73859423289456,0.00018505212905399,0.0197743499479661,12,6,10,9,2,3,2,2,0,1,8,6,11,0,2,2,0,2,8,6,0,0,0,4,0,4,2,0,3,31,0,0,0,7,5,2,5,0,1,2,15,4,7,4,1,14,2,6,0,0,5,19,2,4,7,2,2,3,4,7,2,8,TRUE,FALSE
"14","PGEN_.00g316680",26.6545063270107,-7.05360012241159,1.91388426181969,-3.68548938048383,0.000228263600563735,0.0215122591892392,16,11,20,11,23,64,54,7,6,167,9,4,19,91,9,26,10,26,4,9,16,5,28,28,28,40,18,7,13,20,14,7,14,7,41,6,10,6,11,111,37,59,6,16,23,28,19,22,91,33,10,5,5,15,50,7,23,16,47,15,35,21,FALSE,TRUE
"15","PGEN_.00g076210",21.8943818599548,4.58204033801682,1.17640321058712,3.8949573554207,9.82160077832565e-05,0.013046997283148,21,30,47,37,18,3,30,24,27,17,38,31,42,7,10,2,20,27,45,37,17,45,24,7,5,14,42,10,13,36,14,7,15,23,22,10,23,14,41,5,40,10,24,48,35,20,15,21,11,33,20,25,20,11,12,50,9,31,54,44,13,5,TRUE,FALSE
"16","PGEN_.00g156840",43.3528129453162,8.55940399884813,1.82663036184101,4.68589824063876,2.78734736588506e-06,0.00122022874523955,65,39,13,81,35,71,16,47,56,7,59,26,5,17,9,11,19,11,22,76,37,64,8,15,6,78,28,79,129,51,5,19,19,113,9,31,37,21,45,47,109,13,110,53,137,0,8,33,52,9,46,16,59,77,29,75,8,22,234,50,9,22,TRUE,FALSE
"17","PGEN_.00g288580",192.78625809721,-17.6542473796031,3.75558772895826,-4.70079482992136,2.59150794365797e-06,0.00117231181011274,5,19,13,3,5,37,27,6,4,2273,7,2,179,14,7,3604,1,4,2,2,2,16,13,196,19,5,3,0,1,8,2,1,9,9,4,7,2,6,3,426,9,85,1,5,2,1889,90,9,20,5,6,10,0,4,35,5,87,12,3,0,14,205,FALSE,TRUE
"18","PGEN_.00g145490",12.4695697151116,9.10647551779772,2.00715202665147,4.53701333874048,5.70564991223759e-06,0.00203766776207833,13,30,43,21,5,1,4,13,3,4,29,10,44,0,0,2,2,6,9,13,0,8,6,7,3,2,4,10,20,70,16,2,5,12,7,2,32,14,3,11,34,7,15,8,10,26,10,8,6,6,13,108,17,7,4,2,3,8,8,8,4,32,TRUE,FALSE
"19","PGEN_.00g074890",16.2156732189507,3.98029266872974,1.11719078644334,3.5627689710916,0.000366963608876302,0.028953855442211,23,36,23,39,14,9,14,7,7,12,32,23,33,13,10,4,6,12,7,8,9,9,13,9,4,10,6,19,18,68,24,5,8,16,12,11,27,15,6,13,48,13,32,16,20,18,24,23,41,11,13,29,11,16,11,22,8,10,13,17,8,27,TRUE,FALSE
"20","PGEN_.00g199810",61.8344422062532,6.03848969028736,1.70921747193373,3.53289724066281,0.000411032202560755,0.0308030338337767,68,115,117,70,43,33,46,29,6,31,83,47,421,18,20,21,12,26,24,43,10,13,26,53,9,21,11,50,75,190,36,14,16,63,30,11,86,36,28,85,105,72,74,43,40,246,156,78,24,24,52,538,38,21,26,57,31,74,27,46,17,93,TRUE,FALSE
