"","Gene.ID","SG117","SG137","SG38","SG97","SG88","SG87","SG98","SG37"
"7784","PGEN_.00g308160",20,5,5,18,18,16,6,13
"7785","PGEN_.00g133960",2,6,2,4,2,3,4,5
"7786","PGEN_.00g044320",79,33,31,46,46,60,49,47
"7787","PGEN_.00g043670",3,12,3,0,8,0,0,2
"7788","PGEN_.00g229670",216,203,160,123,125,106,179,150
"7789","PGEN_.00g319710",33,15,9,13,9,12,20,11
"7790","PGEN_.00g316960",15,5,4,8,6,12,8,4
"7791","PGEN_.00g018740",27,19,17,15,12,36,11,16
"7792","PGEN_.00g087370",94,77,67,79,118,164,28,126
"7793","PGEN_.00g222660",20,5,0,0,0,0,5,3
"7794","PGEN_.00g219270",16,5,7,7,4,6,0,0
"7795","PGEN_.00g314520",6,9,19,23,57,41,23,9
"7796","PGEN_.00g283470",2,4,11,0,3,9,5,1
"7797","PGEN_.00g269530",38,16,16,25,19,37,25,23
"7798","PGEN_.00g124760",10,5,2,5,0,6,2,2
"7799","PGEN_.00g331720",21,15,23,22,34,22,17,11
"7800","PGEN_.00g166550",32,44,25,47,41,55,37,30
"7801","PGEN_.00g217280",5,7,7,6,2,5,7,4
"7802","PGEN_.00g309690",3,1,0,3,6,2,3,0
"7803","PGEN_.00g265430",3,10,7,7,10,9,10,7
"7804","PGEN_.00g122740",12,2,4,0,2,5,9,2
"7805","PGEN_.00g093690",10,11,2,0,3,1,4,0
"7806","PGEN_.00g331020",171,136,142,185,207,281,222,185
"7807","PGEN_.00g038540",22,22,16,36,26,34,21,30
"7808","PGEN_.00g052850",243,125,121,190,137,216,235,152
"7809","PGEN_.00g172360",410,226,199,295,267,358,328,317
"7810","PGEN_.00g340310",64,38,13,39,48,83,73,70
"7811","PGEN_.00g014090",6,6,8,12,9,8,23,5
"7812","PGEN_.00g021520",4,2,2,3,1,5,5,4
"7813","PGEN_.00g205370",2,2,3,9,6,11,4,9
"7814","PGEN_.00g146120",9,7,12,5,18,9,19,18
"7815","PGEN_.00g177620",94,59,73,62,97,113,100,86
"7816","PGEN_.00g221310",8,4,7,6,4,18,16,8
"7817","PGEN_.00g042180",3,2,5,2,2,9,4,1
"7818","PGEN_.00g305440",348,272,348,318,346,513,424,368
"7819","PGEN_.00g147650",11,2,2,9,14,18,15,10
"7820","PGEN_.00g143570",13,9,6,3,4,24,6,13
"7821","PGEN_.00g279120",14,8,4,6,6,15,16,3
"7822","PGEN_.00g231540",23,10,18,17,19,10,8,12
"7823","PGEN_.00g265290",4,1,2,2,2,4,2,3
"7824","PGEN_.00g163900",5,6,4,6,8,4,7,9
"7825","PGEN_.00g264740",50,28,21,22,26,39,46,17
"7826","PGEN_.00g153250",7,2,3,0,3,5,7,3
"7827","PGEN_.00g116900",6,4,10,6,7,21,22,5
"7828","PGEN_.00g346960",16,16,8,10,10,8,19,6
"7829","PGEN_.00g037360",17,10,15,12,16,15,15,6
"7830","PGEN_.00g335230",35,26,19,26,21,32,43,28
"7831","PGEN_.00g038350",317,553,277,580,431,664,548,562
"7832","PGEN_.00g014380",16,13,9,16,33,18,14,18
"7833","PGEN_.00g053890",17,10,10,10,16,6,13,9
"7834","PGEN_.00g189630",5,9,4,2,3,16,4,4
"7835","PGEN_.00g232010",7,2,7,8,6,15,7,5
"7836","PGEN_.00g297130",12,11,9,13,7,12,10,10
"7837","PGEN_.00g237250",348,294,91,276,136,125,133,313
"7838","PGEN_.00g186500",35,10,6,11,13,15,16,10
"7839","PGEN_.00g147380",0,5,2,4,8,14,7,3
"7840","PGEN_.00g041760",6,9,7,14,15,17,7,8
"7841","PGEN_.00g199720",44,6,6,12,14,31,26,6
"7842","PGEN_.00g024000",26,1,4,5,8,1,5,3
"7843","PGEN_.00g196800",13,21,12,25,13,21,14,16
"7844","PGEN_.00g200680",11,8,7,10,16,17,9,3
"7845","PGEN_.00g084190",43,24,38,47,42,89,42,46
"7846","PGEN_.00g077160",6,2,4,4,0,1,3,3
"7847","PGEN_.00g070190",56,67,70,86,72,78,70,63
"7848","PGEN_.00g152610",28,36,9,29,25,21,21,19
"7849","PGEN_.00g169500",9,2,7,9,6,10,2,5
"7850","PGEN_.00g155960",137,48,78,115,128,115,130,95
"7851","PGEN_.00g112100",201,119,75,120,122,212,120,118
"7852","PGEN_.00g091220",55,19,21,24,16,25,29,15
"7853","PGEN_.00g328720",23,7,3,7,7,6,4,10
"7854","PGEN_.00g273980",11,6,0,3,4,6,4,2
"7855","PGEN_.00g254850",5,2,0,4,2,11,16,8
"7856","PGEN_.00g071570",9,15,5,9,17,24,6,10
"7857","PGEN_.00g059320",6,2,0,6,2,7,5,3
"7858","PGEN_.00g244450",36,2,11,19,32,32,39,3
"7859","PGEN_.00g289030",3,3,0,7,0,10,8,5
"7860","PGEN_.00g197140",4,4,2,1,0,0,3,0
"7861","PGEN_.00g064530",16,8,14,35,25,25,19,23
"7862","PGEN_.00g145520",13,8,8,7,3,16,18,8
"7863","PGEN_.00g188770",4,0,0,3,0,4,11,3
"7864","PGEN_.00g059490",4,0,6,5,15,6,5,3
"7865","PGEN_.00g280550",3,0,0,2,2,7,5,4
"7866","PGEN_.00g248170",4,5,2,18,23,22,8,2
"7867","PGEN_.00g102850",7,3,0,4,6,2,0,3
"7868","PGEN_.00g289780",16,22,20,28,30,49,18,26
"7869","PGEN_.00g212420",23,13,13,13,32,23,22,18
"7870","PGEN_.00g088990",49,5,7,16,19,10,27,11
"7871","PGEN_.00g119130",45,48,26,50,23,38,23,38
"7872","PGEN_.00g198540",40,35,41,59,48,69,42,55
"7873","PGEN_.00g273360",15,43,45,97,144,111,34,42
"7874","PGEN_.00g069620",15,0,2,2,4,0,4,1
"7875","PGEN_.00g163570",33,33,24,20,40,24,36,16
"7876","PGEN_.00g189790",4,3,5,1,10,8,1,4
"7877","PGEN_.00g078240",2,0,3,4,4,6,0,0
"7878","PGEN_.00g029310",2,6,3,7,5,6,6,4
"7879","PGEN_.00g337320",59,36,46,40,37,58,65,44
"7880","PGEN_.00g324580",21,8,1,2,2,9,7,4
"7881","PGEN_.00g168290",5,0,5,4,3,3,2,1
"7882","PGEN_.00g202440",16,6,5,3,13,8,5,11
"7883","PGEN_.00g227040",21,9,19,13,11,24,10,19
"7884","PGEN_.00g150440",332,233,186,365,311,393,458,309
"7885","PGEN_.00g206350",128,100,75,111,77,158,105,120
"7886","PGEN_.00g247100",84,103,114,41,69,38,39,36
"7887","PGEN_.00g190770",0,0,4,0,13,22,3,0
"7888","PGEN_.00g158920",60,14,95,9,6,287,167,21
"7889","PGEN_.00g269270",20,8,10,10,8,5,10,2
"7890","PGEN_.00g327630",15,22,30,24,42,21,24,35
"7891","PGEN_.00g323180",35,10,16,6,10,19,20,15
"7892","PGEN_.00g281780",4497,3114,2495,3041,2992,3395,3471,2723
"7893","PGEN_.00g103810",109,41,51,71,76,79,105,56
"7894","PGEN_.00g072120",258,433,298,480,372,584,424,502
"7895","PGEN_.00g100540",6,13,13,18,10,21,12,15
"7896","PGEN_.00g154920",19,6,1,3,2,10,9,2
"7897","PGEN_.00g216890",7,3,9,11,7,5,6,2
"7898","PGEN_.00g068280",41,10,6,6,3,15,24,6
"7899","PGEN_.00g257410",1029,1812,1210,1891,1106,1656,1441,1407
"7900","PGEN_.00g226790",6,2,1,5,5,1,6,4
"7901","PGEN_.00g153930",8,24,11,10,12,16,12,22
"7902","PGEN_.00g025150",16,20,12,17,20,18,9,21
"7903","PGEN_.00g061750",17,13,5,12,13,16,22,11
"7904","PGEN_.00g204840",52,10,6,9,10,30,14,16
"7905","PGEN_.00g057960",0,5,5,5,6,12,5,4
"7906","PGEN_.00g053420",512,130,118,117,146,102,135,162
"7907","PGEN_.00g255810",5,2,1,3,3,2,7,0
"7908","PGEN_.00g253240",46,14,12,16,19,21,26,13
"7909","PGEN_.00g143030",4,3,1,2,5,2,3,2
"7910","PGEN_.00g187270",7,7,6,2,12,6,5,6
"7911","PGEN_.00g217270",4,6,3,4,5,0,1,6
"7912","PGEN_.00g149710",17,9,12,11,9,16,18,16
"7913","PGEN_.00g282840",22,13,6,9,11,19,12,15
"7914","PGEN_.00g290460",145,137,131,156,153,207,130,156
"7915","PGEN_.00g241230",6,2,1,4,0,4,4,5
"7916","PGEN_.00g102030",5,4,10,7,2,17,11,13
"7917","PGEN_.00g348570",12,23,56,111,202,194,50,44
"7918","PGEN_.00g077400",1288,987,1032,1199,1065,844,2003,1548
"7919","PGEN_.00g345120",4,10,16,29,65,44,15,12
"7920","PGEN_.00g181300",44,32,22,38,50,32,37,65
"7921","PGEN_.00g326510",26,4,2,8,3,9,18,13
"7922","PGEN_.00g063060",16,2,3,3,6,5,7,5
"7923","PGEN_.00g043470",62,6,21,7,24,23,9,21
"7924","PGEN_.00g090630",5,2,5,6,7,3,4,7
"7925","PGEN_.00g020680",2,5,2,5,6,12,4,5
"7926","PGEN_.00g000950",7,5,4,5,10,6,7,5
"7927","PGEN_.00g251240",31,20,21,30,41,34,27,31
"7928","PGEN_.00g257260",5,0,2,0,2,0,5,5
"7929","PGEN_.00g044690",19,24,24,12,21,32,28,18
"7930","PGEN_.00g138260",17,10,14,48,15,78,48,31
"7931","PGEN_.00g228650",38,64,35,47,51,41,46,56
"7932","PGEN_.00g023080",42,25,26,38,25,33,27,26
"7933","PGEN_.00g263800",24,4,2,2,1,4,11,2
"7934","PGEN_.00g098420",6,1,5,3,6,3,1,2
"7935","PGEN_.00g096340",8,19,10,13,17,8,13,12
"7936","PGEN_.00g107780",17,2,0,55,0,34,26,3
"7937","PGEN_.00g212980",41,66,74,104,36,109,82,91
"7938","PGEN_.00g251870",5,2,3,7,3,5,9,6
"7939","PGEN_.00g104470",75,73,57,78,59,97,72,59
"7940","PGEN_.00g214360",18,12,4,9,13,14,15,11
"7941","PGEN_.00g135570",46,29,16,21,36,29,38,36
"7942","PGEN_.00g203450",6,2,7,4,2,5,2,2
"7943","PGEN_.00g175860",27,18,7,18,9,32,25,10
"7944","PGEN_.00g188570",21,14,5,6,4,11,17,11
"7945","PGEN_.00g295140",5,3,0,5,8,11,5,2
"7946","PGEN_.00g314050",13,9,2,7,11,7,19,4
"7947","PGEN_.00g317880",52,49,73,62,54,41,78,45
"7948","PGEN_.00g002490",7,7,8,8,5,16,7,6
"7949","PGEN_.00g310280",12,4,6,8,5,20,18,12
"7950","PGEN_.00g160240",8,0,2,6,4,0,3,5
"7951","PGEN_.00g335030",83,31,34,64,61,87,79,41
"7952","PGEN_.00g330200",12,11,0,0,12,6,8,15
"7953","PGEN_.00g120190",83,192,154,177,192,207,59,233
"7954","PGEN_.00g082900",15,3,2,2,5,2,6,10
"7955","PGEN_.00g170610",6,5,2,15,4,8,9,10
"7956","PGEN_.00g037610",57,13,5,22,13,6,15,10
"7957","PGEN_.00g131050",8,9,9,10,11,15,41,11
"7958","PGEN_.00g042430",44,55,54,90,48,108,91,75
"7959","PGEN_.00g254800",492,418,323,391,497,480,436,428
"7960","PGEN_.00g195620",46,47,40,63,41,105,47,72
"7961","PGEN_.00g046220",14,3,9,13,6,9,24,7
"7962","PGEN_.00g301960",8,3,5,5,5,1,6,2
"7963","PGEN_.00g226960",14,9,7,15,15,24,20,10
"7964","PGEN_.00g260640",14,8,10,12,12,5,3,14
"7965","PGEN_.00g264940",7,2,3,5,7,7,5,7
"7966","PGEN_.00g001140",81,53,60,93,80,101,89,71
"7967","PGEN_.00g284500",45,22,82,87,119,69,49,34
"7968","PGEN_.00g210670",12,25,6,4,10,6,19,7
"7969","PGEN_.00g015360",8,9,6,7,4,3,6,12
"7970","PGEN_.00g117440",30,16,14,15,22,18,15,14
"7971","PGEN_.00g244610",12,5,12,13,6,23,10,6
"7972","PGEN_.00g217130",66,44,37,53,46,71,60,41
"7973","PGEN_.00g010620",26,17,14,21,22,24,24,25
"7974","PGEN_.00g054850",34,28,14,29,25,18,36,24
"7975","PGEN_.00g111840",16,12,12,21,16,23,25,11
"7976","PGEN_.00g263340",12,2,2,5,6,7,5,5
"7977","PGEN_.00g194280",12,6,6,17,14,13,12,10
"7978","PGEN_.00g019700",89,25,26,26,42,47,66,40
"7979","PGEN_.00g223870",7,8,3,4,4,6,7,6
"7980","PGEN_.00g316020",12,11,13,6,19,35,16,11
"7981","PGEN_.00g238760",34,8,13,19,28,5,25,24
"7982","PGEN_.00g318340",10,11,5,10,8,14,11,16
"7983","PGEN_.00g011280",83,107,62,92,87,134,98,126
"7984","PGEN_.00g186050",27,48,12,31,17,15,31,34
"7985","PGEN_.00g290350",6,9,7,3,4,7,5,5
"7986","PGEN_.00g332170",3,9,4,9,13,0,2,9
"7987","PGEN_.00g116710",22,9,11,18,9,30,19,19
"7988","PGEN_.00g218310",5,3,1,3,2,5,4,4
"7989","PGEN_.00g315040",71,15,21,7,53,7,32,12
"7990","PGEN_.00g092440",0,9,6,24,12,10,2,10
"7991","PGEN_.00g328810",8,8,0,4,10,9,8,10
"7992","PGEN_.00g114400",2,5,2,2,2,10,2,5
"7993","PGEN_.00g266390",26,12,13,27,13,24,19,10
"7994","PGEN_.00g083260",11,20,20,19,17,21,14,19
"7995","PGEN_.00g111150",38,6,9,21,7,11,8,32
"7996","PGEN_.00g055810",10,7,7,2,2,2,9,3
"7997","PGEN_.00g196620",8,2,3,5,0,3,4,6
"7998","PGEN_.00g304120",83,24,39,50,47,87,132,46
"7999","PGEN_.00g319960",7,4,3,0,2,0,3,0
"8000","PGEN_.00g026680",157,94,261,117,165,267,151,208
"8001","PGEN_.00g003950",17,7,8,6,8,8,8,14
"8002","PGEN_.00g297810",31,16,9,9,18,16,17,16
"8003","PGEN_.00g192280",10,7,7,5,9,14,16,7
"8004","PGEN_.00g301510",6,2,2,2,0,0,9,3
"8005","PGEN_.00g233980",25,36,19,46,50,42,53,42
"8006","PGEN_.00g021480",17,24,12,17,25,22,25,37
"8007","PGEN_.00g264530",22,18,30,20,19,20,22,28
"8008","PGEN_.00g169090",71,36,29,36,46,65,83,50
"8009","PGEN_.00g191390",347,227,225,215,302,335,349,208
"8010","PGEN_.00g279680",107,85,80,102,114,140,118,101
"8011","PGEN_.00g115430",22,11,10,13,20,28,32,12
"8012","PGEN_.00g085690",38,32,51,43,63,75,55,55
"8013","PGEN_.00g019280",12,3,4,4,8,7,5,8
"8014","PGEN_.00g287120",2,3,2,5,7,6,4,7
"8015","PGEN_.00g237350",6,6,5,22,77,7,0,3
"8016","PGEN_.00g323660",2,0,2,5,0,9,5,4
"8017","PGEN_.00g134580",8,0,0,2,5,10,9,0
"8018","PGEN_.00g014770",11,12,6,15,6,19,18,7
"8019","PGEN_.00g306560",9,4,1,3,6,8,4,2
"8020","PGEN_.00g239580",53,64,56,68,54,76,87,69
"8021","PGEN_.00g297360",107,123,322,237,449,255,180,167
"8022","PGEN_.00g275470",2,5,6,3,4,2,3,7
"8023","PGEN_.00g077640",0,6,3,13,5,11,11,0
"8024","PGEN_.00g073540",8,24,11,18,6,17,19,8
"8025","PGEN_.00g298780",58,49,42,56,48,81,39,53
"8026","PGEN_.00g025560",13,10,10,15,12,8,11,13
"8027","PGEN_.00g094150",27,7,7,15,9,13,32,8
"8028","PGEN_.00g270530",406,286,518,429,505,660,360,656
"8029","PGEN_.00g114380",79,52,31,41,45,43,48,27
"8030","PGEN_.00g077390",1183,1305,1068,1064,1233,925,2072,2273
"8031","PGEN_.00g063260",6,9,3,15,7,25,7,12
"8032","PGEN_.00g095400",29,7,7,6,9,14,20,7
"8033","PGEN_.00g161090",318,208,259,364,338,485,385,334
"8034","PGEN_.00g099710",7,1,6,3,7,1,4,16
"8035","PGEN_.00g026910",13,6,6,2,7,6,13,8
"8036","PGEN_.00g299780",1,5,3,3,4,6,2,3
"8037","PGEN_.00g091520",5,2,2,4,0,8,0,2
"8038","PGEN_.00g236910",5,0,2,2,5,0,2,9
"8039","PGEN_.00g328020",4,6,7,9,20,3,4,4
"8040","PGEN_.00g164110",84,143,93,181,153,159,155,192
"8041","PGEN_.00g138060",4,4,2,9,2,2,2,8
"8042","PGEN_.00g015820",4,2,2,4,0,3,6,0
"8043","PGEN_.00g144590",10,3,5,3,0,1,9,5
"8044","PGEN_.00g244550",0,9,3,5,7,0,1,6
