"X" "SG117" "SG137" "SG38" "SG97" "SG88" "SG87" "SG98" "SG37"
"7661" "PGEN_.00g340710" 8 6 5 5 7 3 3 4
"7662" "PGEN_.00g055020" 20 8 9 25 14 21 18 18
"7663" "PGEN_.00g344870" 5 3 1 6 3 1 1 2
"7664" "PGEN_.00g125110" 5 8 3 6 15 14 17 8
"7665" "PGEN_.00g084010" 81 36 34 94 73 105 59 96
"7666" "PGEN_.00g237660" 34 0 28 50 34 122 0 48
"7667" "PGEN_.00g335510" 329 150 159 201 233 269 233 206
"7668" "PGEN_.00g042680" 4 5 2 6 3 0 4 0
"7669" "PGEN_.00g161120" 7 5 20 6 24 53 37 15
"7670" "PGEN_.00g233570" 55 131 86 125 110 158 113 171
"7671" "PGEN_.00g306270" 13 18 8 23 13 15 13 5
"7672" "PGEN_.00g188250" 186 291 451 1434 1320 2236 611 419
"7673" "PGEN_.00g040680" 19 9 5 9 12 19 8 20
"7674" "PGEN_.00g050160" 1 2 5 4 5 7 0 7
"7675" "PGEN_.00g194500" 27 22 16 14 19 22 20 28
"7676" "PGEN_.00g241890" 0 6 7 4 6 3 18 3
"7677" "PGEN_.00g338160" 9 2 3 8 7 8 9 12
"7678" "PGEN_.00g063080" 0 0 4 2 6 10 7 3
"7679" "PGEN_.00g041080" 6 4 6 2 14 18 6 9
"7680" "PGEN_.00g015080" 8 0 0 3 2 2 5 3
"7681" "PGEN_.00g071430" 15 6 6 4 6 9 13 5
"7682" "PGEN_.00g303310" 731 295 400 489 439 611 517 432
"7683" "PGEN_.00g159650" 177 1292 257 279 313 1081 320 419
"7684" "PGEN_.00g001350" 162 60 296 567 608 1330 582 294
"7685" "PGEN_.00g161780" 24 12 18 25 31 40 20 30
"7686" "PGEN_.00g090940" 12 9 3 8 12 10 15 11
"7687" "PGEN_.00g268840" 26 10 16 14 19 19 24 22
"7688" "PGEN_.00g306890" 162 104 136 163 173 272 224 145
"7689" "PGEN_.00g091010" 0 4 0 8 5 17 11 3
"7690" "PGEN_.00g328510" 9 26 20 18 20 15 28 25
"7691" "PGEN_.00g163780" 5 7 2 6 4 4 5 5
"7692" "PGEN_.00g322610" 26 29 68 24 64 31 67 12
"7693" "PGEN_.00g117630" 8 13 9 15 17 4 9 3
"7694" "PGEN_.00g161870" 135 82 22 53 65 21 36 57
"7695" "PGEN_.00g209980" 6 3 2 4 0 4 2 5
"7696" "PGEN_.00g342820" 4 2 3 11 3 13 6 6
"7697" "PGEN_.00g244060" 21 12 16 18 25 15 24 12
"7698" "PGEN_.00g162780" 46 24 13 31 29 62 45 23
"7699" "PGEN_.00g208050" 99 39 33 53 51 76 93 38
"7700" "PGEN_.00g054420" 97 78 52 116 96 194 86 122
"7701" "PGEN_.00g243490" 6 3 3 11 10 5 2 9
"7702" "PGEN_.00g016570" 212 183 145 296 286 276 253 264
"7703" "PGEN_.00g319260" 4 12 4 12 6 14 5 12
"7704" "PGEN_.00g190500" 20 19 12 13 13 19 17 16
"7705" "PGEN_.00g149100" 14 13 5 6 5 6 26 6
"7706" "PGEN_.00g274880" 651 11 72 145 136 216 118 56
"7707" "PGEN_.00g068740" 154 133 100 95 128 111 144 153
"7708" "PGEN_.00g269080" 9 10 13 3 14 8 10 6
"7709" "PGEN_.00g158290" 11 10 8 7 6 8 12 10
"7710" "PGEN_.00g093580" 79 87 53 73 96 95 102 114
"7711" "PGEN_.00g272730" 14 8 10 10 11 29 29 11
"7712" "PGEN_.00g299040" 13 8 5 15 7 5 7 14
"7713" "PGEN_.00g119850" 13 16 8 21 13 22 38 13
"7714" "PGEN_.00g089790" 4 1 2 3 4 5 2 3
"7715" "PGEN_.00g151720" 26 12 11 15 8 18 25 9
"7716" "PGEN_.00g231150" 8 23 13 28 14 18 32 17
"7717" "PGEN_.00g273280" 26 19 6 20 9 19 21 12
"7718" "PGEN_.00g043440" 16 12 8 17 10 20 21 22
"7719" "PGEN_.00g111670" 15 10 9 8 9 21 22 9
"7720" "PGEN_.00g252030" 10 5 4 2 4 3 8 3
"7721" "PGEN_.00g263150" 4 4 8 7 5 4 4 3
"7722" "PGEN_.00g274770" 33 10 16 19 22 37 20 31
"7723" "PGEN_.00g093320" 33 10 17 23 35 26 20 33
"7724" "PGEN_.00g205320" 89 23 35 31 26 57 71 31
"7725" "PGEN_.00g266500" 10 6 11 8 13 12 15 11
"7726" "PGEN_.00g089070" 10 17 8 13 7 3 9 5
"7727" "PGEN_.00g005680" 9 13 8 23 5 48 22 11
"7728" "PGEN_.00g053610" 7 5 4 3 6 14 7 6
"7729" "PGEN_.00g084840" 23 5 6 13 16 5 11 28
"7730" "PGEN_.00g252780" 8 3 6 12 13 11 12 10
"7731" "PGEN_.00g027760" 33 17 28 9 15 0 22 13
"7732" "PGEN_.00g196210" 5 1 3 2 3 7 5 2
"7733" "PGEN_.00g185870" 34 23 18 0 0 43 44 40
"7734" "PGEN_.00g331220" 4 6 2 4 8 10 12 14
"7735" "PGEN_.00g226610" 4 10 7 3 9 7 8 4
"7736" "PGEN_.00g086570" 5 0 4 2 6 9 9 8
"7737" "PGEN_.00g075840" 55 48 34 40 33 49 51 42
"7738" "PGEN_.00g110070" 50 54 30 21 28 49 59 44
"7739" "PGEN_.00g149810" 6 23 5 23 32 25 33 36
"7740" "PGEN_.00g118720" 24 16 6 12 10 9 22 18
"7741" "PGEN_.00g072310" 20 52 24 37 25 36 34 48
"7742" "PGEN_.00g300030" 21 10 10 18 31 24 28 15
"7743" "PGEN_.00g154770" 0 5 1 3 6 9 7 0
"7744" "PGEN_.00g013010" 3 4 2 0 4 2 5 6
"7745" "PGEN_.00g088380" 59 16 12 17 27 61 44 30
"7746" "PGEN_.00g287100" 45 23 35 39 47 64 72 54
"7747" "PGEN_.00g085550" 17 5 12 6 2 13 12 12
"7748" "PGEN_.00g216910" 4 4 0 4 8 4 4 0
"7749" "PGEN_.00g348040" 4 5 11 18 48 47 8 10
"7750" "PGEN_.00g320700" 18 4 5 5 6 9 14 7
"7751" "PGEN_.00g130940" 28 8 10 12 10 16 20 16
"7752" "PGEN_.00g321250" 9 5 32 16 48 34 30 9
"7753" "PGEN_.00g024120" 7 7 4 0 4 4 1 2
"7754" "PGEN_.00g113520" 47 54 46 45 50 60 57 56
"7755" "PGEN_.00g060360" 11 8 10 16 8 5 23 18
"7756" "PGEN_.00g241400" 44 73 60 73 93 109 64 93
"7757" "PGEN_.00g192010" 6 0 4 9 4 11 5 6
"7758" "PGEN_.00g177470" 16 22 20 19 17 34 30 18
"7759" "PGEN_.00g291980" 191 146 255 170 255 240 270 164
"7760" "PGEN_.00g027420" 8 3 4 2 3 4 10 2
"7761" "PGEN_.00g184040" 2 1 4 0 16 7 7 6
"7762" "PGEN_.00g156190" 2 5 5 3 5 2 2 0
"7763" "PGEN_.00g076760" 23 12 6 10 7 12 13 4
"7764" "PGEN_.00g072860" 18 15 13 16 14 15 30 9
"7765" "PGEN_.00g103590" 40 23 22 17 30 34 21 24
"7766" "PGEN_.00g188930" 10 9 3 7 3 12 4 4
"7767" "PGEN_.00g290580" 27 29 27 23 38 38 35 34
"7768" "PGEN_.00g073190" 13 1 24 45 47 233 66 32
"7769" "PGEN_.00g291670" 0 2 5 4 5 5 3 9
"7770" "PGEN_.00g276590" 31 55 21 31 20 43 29 35
"7771" "PGEN_.00g023690" 44 19 27 78 22 48 64 55
"7772" "PGEN_.00g060980" 25 19 10 10 7 9 12 0
"7773" "PGEN_.00g103620" 10 7 9 16 10 9 6 7
"7774" "PGEN_.00g207410" 2 5 5 4 2 0 3 3
"7775" "PGEN_.00g259840" 4 8 2 10 3 7 6 2
"7776" "PGEN_.00g211140" 21 27 30 43 22 45 31 24
"7777" "PGEN_.00g308390" 3 4 2 2 0 5 2 3
"7778" "PGEN_.00g112690" 75 38 33 44 46 38 51 37
"7779" "PGEN_.00g031710" 7 5 4 6 4 8 6 9
"7780" "PGEN_.00g067350" 57 73 54 52 78 63 41 50
"7781" "PGEN_.00g090000" 27 33 24 44 44 52 33 40
"7782" "PGEN_.00g276040" 3 41 9 25 33 11 28 47
"7783" "PGEN_.00g066000" 7 4 0 6 7 18 5 7
"7784" "PGEN_.00g091750" 15 8 22 9 22 23 25 13
"7785" "PGEN_.00g251690" 1 9 2 9 3 6 0 8
"7786" "PGEN_.00g322930" 27 21 11 13 22 4 8 16
"7787" "PGEN_.00g073730" 4 0 2 6 2 6 3 5
"7788" "PGEN_.00g112340" 4 8 9 9 9 5 4 7
"7789" "PGEN_.00g063180" 25 7 10 41 20 55 38 22
"7790" "PGEN_.00g043530" 0 2 2 8 7 0 9 2
"7791" "PGEN_.00g003080" 14 3 9 11 5 11 12 11
"7792" "PGEN_.00g311290" 31 35 66 54 115 104 89 64
"7793" "PGEN_.00g133550" 162 42 72 66 53 83 100 59
"7794" "PGEN_.00g289230" 63 13 17 29 23 26 41 31
"7795" "PGEN_.00g145720" 9 9 7 19 18 14 12 10
"7796" "PGEN_.00g108560" 864 1009 685 976 1240 1003 945 1002
"7797" "PGEN_.00g288540" 24 8 4 8 10 13 12 11
"7798" "PGEN_.00g218950" 1 3 6 1 4 4 4 2
"7799" "PGEN_.00g097690" 22 43 37 21 35 34 25 33
"7800" "PGEN_.00g215530" 4 3 2 3 4 7 5 10
"7801" "PGEN_.00g211850" 5 5 4 2 2 2 0 5
"7802" "PGEN_.00g136450" 98 48 29 41 35 84 63 42
"7803" "PGEN_.00g212620" 6 0 2 4 0 3 6 0
"7804" "PGEN_.00g058830" 31 166 128 189 185 194 131 205
"7805" "PGEN_.00g065720" 20 8 3 10 7 8 10 4
"7806" "PGEN_.00g202130" 4 7 12 14 12 17 11 10
"7807" "PGEN_.00g105660" 18 11 8 23 16 23 11 13
"7808" "PGEN_.00g176230" 202 116 136 185 152 246 147 239
"7809" "PGEN_.00g047940" 32 40 23 32 36 35 31 44
"7810" "PGEN_.00g184860" 9 2 4 6 0 3 5 2
"7811" "PGEN_.00g227200" 29 7 10 19 17 9 18 15
"7812" "PGEN_.00g074850" 10 45 65 81 86 64 71 57
"7813" "PGEN_.00g046010" 336 122 183 79 175 278 269 143
"7814" "PGEN_.00g317920" 0 5 0 5 3 1 6 4
"7815" "PGEN_.00g079680" 39 30 18 24 33 20 8 24
"7816" "PGEN_.00g021050" 3 2 4 5 5 7 5 14
"7817" "PGEN_.00g284310" 7 5 10 3 4 10 2 6
"7818" "PGEN_.00g213170" 22 14 13 20 23 17 20 17
"7819" "PGEN_.00g038650" 2 3 6 9 2 12 7 6
"7820" "PGEN_.00g339210" 11 6 6 25 12 7 9 15
"7821" "PGEN_.00g120650" 75 35 28 42 42 44 38 23
"7822" "PGEN_.00g039520" 19 53 212 328 564 486 107 117
"7823" "PGEN_.00g226550" 25 19 16 21 26 27 32 32
"7824" "PGEN_.00g213280" 6 2 11 6 7 20 1 6
"7825" "PGEN_.00g130200" 115 125 111 132 139 173 154 166
"7826" "PGEN_.00g303150" 13 18 16 14 28 45 15 21
"7827" "PGEN_.00g045090" 50 21 30 43 57 50 44 35
"7828" "PGEN_.00g287660" 4 3 5 1 2 2 6 0
"7829" "PGEN_.00g280950" 4 4 6 10 21 35 6 2
"7830" "PGEN_.00g332300" 135 156 72 162 124 196 151 127
"7831" "PGEN_.00g126110" 3 7 6 1 6 6 6 6
"7832" "PGEN_.00g184520" 6 1 4 8 9 14 3 11
"7833" "PGEN_.00g213820" 43 32 8 8 12 13 19 20
"7834" "PGEN_.00g312400" 48 47 20 49 46 63 50 54
"7835" "PGEN_.00g116120" 4 1 1 7 12 2 3 1
"7836" "PGEN_.00g218100" 49 71 36 47 68 71 33 49
"7837" "PGEN_.00g210730" 17 11 17 19 12 29 18 13
"7838" "PGEN_.00g011740" 31 7 9 17 23 22 31 18
"7839" "PGEN_.00g030120" 0 0 0 28 4 48 2 3
"7840" "PGEN_.00g211460" 9 0 3 6 11 5 15 12
"7841" "PGEN_.00g016770" 62 20 17 14 24 39 50 24
"7842" "PGEN_.00g067010" 217 213 221 371 307 539 343 528
"7843" "PGEN_.00g308160" 21 5 5 22 18 16 6 14
"7844" "PGEN_.00g133960" 3 6 2 4 2 3 4 5
"7845" "PGEN_.00g044320" 83 36 33 49 47 65 54 52
"7846" "PGEN_.00g229670" 234 214 169 131 128 118 190 160
"7847" "PGEN_.00g319710" 35 15 12 19 9 12 21 14
"7848" "PGEN_.00g316960" 13 5 4 7 6 12 9 5
"7849" "PGEN_.00g018740" 27 19 17 16 13 36 12 16
"7850" "PGEN_.00g087370" 94 79 67 77 119 162 27 126
"7851" "PGEN_.00g222660" 20 5 0 0 0 0 5 3
"7852" "PGEN_.00g219270" 16 5 7 6 4 6 0 0
"7853" "PGEN_.00g314520" 7 9 21 26 62 46 26 10
"7854" "PGEN_.00g283470" 2 4 11 0 3 9 5 1
"7855" "PGEN_.00g269530" 40 16 16 25 19 37 26 24
"7856" "PGEN_.00g124760" 10 5 2 5 0 6 2 2
"7857" "PGEN_.00g331720" 21 15 23 22 33 22 17 11
"7858" "PGEN_.00g166550" 32 47 26 48 42 58 39 30
"7859" "PGEN_.00g217280" 6 9 7 7 2 5 7 4
"7860" "PGEN_.00g265430" 3 10 7 7 10 9 10 7
"7861" "PGEN_.00g122740" 12 2 4 0 2 5 9 2
"7862" "PGEN_.00g093690" 10 11 2 0 3 1 6 0
"7863" "PGEN_.00g331020" 183 141 150 200 212 288 231 189
"7864" "PGEN_.00g038540" 23 22 16 36 28 38 23 32
"7865" "PGEN_.00g052850" 254 129 121 203 141 227 237 157
"7866" "PGEN_.00g172360" 449 247 214 311 285 377 347 344
"7867" "PGEN_.00g340310" 67 39 14 41 50 85 76 70
"7868" "PGEN_.00g014090" 6 6 9 12 9 8 23 5
"7869" "PGEN_.00g021520" 4 2 3 3 1 5 6 4
"7870" "PGEN_.00g205370" 3 4 3 9 6 11 4 11
"7871" "PGEN_.00g146120" 10 7 12 5 18 9 19 18
"7872" "PGEN_.00g177620" 98 61 77 66 101 129 110 92
"7873" "PGEN_.00g221310" 9 4 7 6 4 18 16 8
"7874" "PGEN_.00g305440" 368 287 359 347 371 539 451 388
"7875" "PGEN_.00g147650" 11 2 2 9 14 18 15 11
"7876" "PGEN_.00g143570" 13 9 6 3 5 24 6 13
"7877" "PGEN_.00g279120" 14 8 4 8 6 15 17 3
"7878" "PGEN_.00g231540" 23 10 18 17 19 10 8 12
"7879" "PGEN_.00g265290" 4 3 2 2 2 4 2 3
"7880" "PGEN_.00g163900" 8 6 5 6 8 5 7 9
"7881" "PGEN_.00g264740" 51 28 23 24 27 39 47 17
"7882" "PGEN_.00g153250" 7 2 3 0 3 6 8 3
"7883" "PGEN_.00g116900" 6 4 10 8 8 21 24 5
"7884" "PGEN_.00g346960" 16 16 8 10 11 8 21 6
"7885" "PGEN_.00g125830" 10 6 2 3 1 0 3 0
"7886" "PGEN_.00g037360" 17 10 15 12 16 16 16 6
"7887" "PGEN_.00g335230" 36 25 19 26 23 33 46 29
"7888" "PGEN_.00g038350" 335 569 282 605 447 677 557 585
"7889" "PGEN_.00g014380" 18 14 9 16 36 19 15 20
"7890" "PGEN_.00g053890" 17 10 10 10 16 8 13 10
"7891" "PGEN_.00g232010" 7 2 7 8 6 17 7 6
"7892" "PGEN_.00g297130" 12 11 9 14 7 13 10 12
"7893" "PGEN_.00g237250" 350 299 91 283 144 126 133 315
"7894" "PGEN_.00g186500" 33 10 6 11 13 15 16 10
"7895" "PGEN_.00g147380" 0 5 2 4 8 14 7 3
"7896" "PGEN_.00g041760" 6 10 7 15 15 17 7 9
"7897" "PGEN_.00g199720" 48 9 6 12 14 31 26 6
"7898" "PGEN_.00g024000" 24 1 4 5 8 3 5 3
"7899" "PGEN_.00g196800" 14 23 12 25 14 24 16 17
"7900" "PGEN_.00g200680" 12 8 7 11 16 17 9 2
"7901" "PGEN_.00g084190" 48 24 41 52 44 92 44 49
"7902" "PGEN_.00g077160" 6 2 5 4 0 1 3 3
"7903" "PGEN_.00g070190" 57 68 74 90 76 78 71 67
"7904" "PGEN_.00g152610" 28 36 10 29 25 21 21 19
"7905" "PGEN_.00g230410" 2 2 3 3 3 2 6 2
"7906" "PGEN_.00g169500" 10 2 7 10 6 10 2 5
"7907" "PGEN_.00g155960" 142 49 82 118 129 118 134 98
"7908" "PGEN_.00g112100" 205 121 78 127 121 217 125 119
"7909" "PGEN_.00g091220" 56 20 21 24 16 25 31 17
"7910" "PGEN_.00g328720" 27 7 3 7 9 7 4 10
"7911" "PGEN_.00g273980" 11 8 0 3 4 6 4 2
"7912" "PGEN_.00g254850" 5 2 1 4 2 11 16 8
"7913" "PGEN_.00g071570" 11 15 5 9 18 24 7 10
"7914" "PGEN_.00g059320" 6 2 0 5 2 7 5 3
"7915" "PGEN_.00g244450" 43 2 15 31 39 41 54 9
"7916" "PGEN_.00g289030" 3 3 1 7 0 10 8 5
"7917" "PGEN_.00g197140" 4 5 2 1 0 2 3 0
"7918" "PGEN_.00g064530" 17 9 14 38 29 26 21 24
"7919" "PGEN_.00g145520" 13 9 8 7 3 16 19 9
"7920" "PGEN_.00g188770" 4 0 0 3 0 4 11 5
"7921" "PGEN_.00g059490" 4 0 6 3 15 6 5 4
"7922" "PGEN_.00g280550" 3 0 0 5 2 7 5 4
"7923" "PGEN_.00g248170" 5 5 2 18 25 25 8 3
"7924" "PGEN_.00g102850" 7 5 0 6 6 2 0 3
"7925" "PGEN_.00g289780" 22 26 24 35 32 53 24 34
"7926" "PGEN_.00g212420" 23 13 13 14 33 23 21 21
"7927" "PGEN_.00g088990" 50 5 8 17 19 13 28 12
"7928" "PGEN_.00g119130" 47 50 26 56 27 38 25 43
"7929" "PGEN_.00g198540" 43 35 42 64 48 71 43 56
"7930" "PGEN_.00g273360" 15 44 46 102 150 114 35 45
"7931" "PGEN_.00g069620" 15 0 2 2 4 1 4 1
"7932" "PGEN_.00g163570" 34 36 25 21 40 24 40 17
"7933" "PGEN_.00g189790" 4 3 5 1 10 9 1 4
"7934" "PGEN_.00g078240" 2 0 3 4 4 6 0 0
"7935" "PGEN_.00g029310" 2 6 3 7 5 6 6 4
"7936" "PGEN_.00g258500" 14 7 9 11 5 27 7 13
"7937" "PGEN_.00g324580" 21 8 1 2 2 9 8 4
"7938" "PGEN_.00g168290" 5 0 5 4 3 3 3 1
"7939" "PGEN_.00g202440" 16 6 5 3 14 8 6 11
"7940" "PGEN_.00g227040" 22 9 19 14 13 24 11 23
"7941" "PGEN_.00g150440" 358 250 195 402 335 417 488 334
"7942" "PGEN_.00g206350" 136 101 77 114 79 168 112 118
"7943" "PGEN_.00g247100" 84 103 114 40 70 38 38 36
"7944" "PGEN_.00g190770" 0 0 4 0 13 22 3 0
"7945" "PGEN_.00g158920" 62 15 102 10 6 303 175 21
"7946" "PGEN_.00g269270" 20 8 10 10 8 5 11 2
"7947" "PGEN_.00g327630" 15 22 30 26 42 23 28 36
"7948" "PGEN_.00g323180" 36 10 16 6 10 19 20 15
"7949" "PGEN_.00g281780" 4646 3207 2570 3142 3073 3485 3562 2822
"7950" "PGEN_.00g103810" 111 41 54 73 78 81 110 56
"7951" "PGEN_.00g072120" 275 460 312 518 395 611 442 537
"7952" "PGEN_.00g100540" 6 14 14 19 11 21 13 15
"7953" "PGEN_.00g154920" 19 8 2 3 2 10 9 2
"7954" "PGEN_.00g216890" 7 3 9 11 7 5 6 2
"7955" "PGEN_.00g068280" 42 10 6 6 4 17 25 7
"7956" "PGEN_.00g257410" 1054 1837 1232 1973 1137 1696 1503 1442
"7957" "PGEN_.00g226790" 6 2 1 5 5 1 6 4
"7958" "PGEN_.00g153930" 9 24 11 10 12 16 12 22
"7959" "PGEN_.00g025150" 17 21 13 17 20 18 9 21
"7960" "PGEN_.00g061750" 17 13 5 16 13 19 25 12
"7961" "PGEN_.00g204840" 55 10 8 9 10 31 14 16
"7962" "PGEN_.00g057960" 1 5 5 6 6 13 5 5
"7963" "PGEN_.00g053420" 522 131 122 122 157 106 143 166
"7964" "PGEN_.00g255810" 5 2 1 3 3 2 7 0
"7965" "PGEN_.00g253240" 47 14 12 16 19 22 28 13
"7966" "PGEN_.00g143030" 4 3 1 2 5 2 3 2
"7967" "PGEN_.00g187270" 7 7 6 2 12 7 8 6
"7968" "PGEN_.00g217270" 4 6 3 4 5 0 1 6
"7969" "PGEN_.00g149710" 18 10 14 15 13 17 18 21
"7970" "PGEN_.00g282840" 22 13 7 10 13 19 14 16
"7971" "PGEN_.00g290460" 159 145 141 177 162 217 143 175
"7972" "PGEN_.00g241230" 6 2 1 4 0 4 4 5
"7973" "PGEN_.00g102030" 5 4 10 8 2 17 11 13
"7974" "PGEN_.00g348570" 12 26 64 120 214 210 58 48
"7975" "PGEN_.00g077400" 1365 1035 1087 1312 1179 907 2179 1655
"7976" "PGEN_.00g345120" 6 11 16 35 68 55 17 16
"7977" "PGEN_.00g181300" 48 34 26 41 53 32 39 69
"7978" "PGEN_.00g326510" 26 4 2 9 3 9 19 14
"7979" "PGEN_.00g063060" 17 2 3 5 6 5 7 5
"7980" "PGEN_.00g043470" 62 7 21 7 24 23 10 22
"7981" "PGEN_.00g090630" 5 2 5 6 7 3 4 8
"7982" "PGEN_.00g020680" 2 5 2 5 6 12 4 5
"7983" "PGEN_.00g000950" 7 5 4 6 10 6 8 6
"7984" "PGEN_.00g251240" 33 20 21 30 42 38 32 33
"7985" "PGEN_.00g257260" 5 0 2 0 2 0 5 5
"7986" "PGEN_.00g044690" 19 25 24 13 23 34 29 19
"7987" "PGEN_.00g138260" 20 11 15 50 18 81 48 34
"7988" "PGEN_.00g228650" 39 64 37 47 53 42 46 60
"7989" "PGEN_.00g023080" 43 25 27 38 25 33 28 26
"7990" "PGEN_.00g263800" 24 4 2 1 1 3 9 2
"7991" "PGEN_.00g098420" 6 1 5 3 6 3 1 2
"7992" "PGEN_.00g101880" 5 2 3 3 5 2 3 3
"7993" "PGEN_.00g107780" 18 2 1 58 0 35 27 3
"7994" "PGEN_.00g212980" 47 71 80 117 40 117 86 107
"7995" "PGEN_.00g251870" 6 2 3 10 3 5 10 6
"7996" "PGEN_.00g104470" 74 74 57 79 65 99 73 61
"7997" "PGEN_.00g205920" 7 3 1 2 3 2 9 2
"7998" "PGEN_.00g172610" 1 3 3 3 2 3 4 1
"7999" "PGEN_.00g214360" 18 13 4 11 13 15 15 12
"8000" "PGEN_.00g135570" 49 29 18 23 38 30 38 39
"8001" "PGEN_.00g203450" 6 2 7 4 2 5 2 2
"8002" "PGEN_.00g175860" 28 17 7 18 9 32 25 10
"8003" "PGEN_.00g188570" 22 14 5 6 4 13 17 11
"8004" "PGEN_.00g295140" 6 3 0 5 8 11 5 2
"8005" "PGEN_.00g314050" 14 10 2 7 11 8 19 6
"8006" "PGEN_.00g317880" 55 52 78 75 65 47 85 49
"8007" "PGEN_.00g002490" 7 8 8 8 6 16 7 8
"8008" "PGEN_.00g310280" 11 4 7 7 5 20 18 13
"8009" "PGEN_.00g160240" 8 0 2 6 4 0 3 5
"8010" "PGEN_.00g335030" 88 32 35 66 63 89 80 42
"8011" "PGEN_.00g330200" 13 11 0 0 13 7 8 15
"8012" "PGEN_.00g120190" 90 196 160 191 196 218 62 241
"8013" "PGEN_.00g082900" 15 3 2 2 5 2 6 11
"8014" "PGEN_.00g170610" 6 5 2 16 4 8 9 10
"8015" "PGEN_.00g037610" 58 13 5 24 14 6 15 12
"8016" "PGEN_.00g131050" 9 9 9 10 11 15 41 11
"8017" "PGEN_.00g042430" 44 56 54 94 51 111 94 78
"8018" "PGEN_.00g254800" 527 442 329 429 520 497 461 468
"8019" "PGEN_.00g195620" 48 47 40 67 43 107 53 77
"8020" "PGEN_.00g046220" 14 3 9 13 6 10 25 8
"8021" "PGEN_.00g301960" 8 3 5 5 5 1 7 2
"8022" "PGEN_.00g226960" 14 9 7 18 16 24 21 10
"8023" "PGEN_.00g260640" 15 9 10 14 12 6 5 14
"8024" "PGEN_.00g264940" 7 2 4 5 7 8 5 8
"8025" "PGEN_.00g001140" 81 55 62 94 80 106 93 73
"8026" "PGEN_.00g284500" 52 23 88 95 135 76 62 40
"8027" "PGEN_.00g210670" 12 25 7 4 10 6 19 7
"8028" "PGEN_.00g015360" 8 9 6 7 4 4 6 14
"8029" "PGEN_.00g117440" 30 17 14 16 24 18 18 14
"8030" "PGEN_.00g244610" 12 5 12 13 6 23 10 6
"8031" "PGEN_.00g217130" 73 45 41 57 47 77 69 44
"8032" "PGEN_.00g010620" 32 17 15 23 23 25 26 25
"8033" "PGEN_.00g054850" 39 29 14 34 27 19 39 25
"8034" "PGEN_.00g111840" 16 12 12 21 16 25 25 13
"8035" "PGEN_.00g263340" 12 6 2 5 6 7 5 5
"8036" "PGEN_.00g194280" 13 6 7 17 14 14 12 11
"8037" "PGEN_.00g019700" 94 25 27 27 44 48 68 45
"8038" "PGEN_.00g223870" 8 8 3 4 5 6 9 7
"8039" "PGEN_.00g316020" 12 11 13 5 24 37 16 14
"8040" "PGEN_.00g238760" 37 9 14 19 28 8 27 26
"8041" "PGEN_.00g318340" 11 11 5 12 8 15 12 17
"8042" "PGEN_.00g011280" 88 109 63 94 87 136 101 131
"8043" "PGEN_.00g186050" 28 48 12 31 17 14 32 34
"8044" "PGEN_.00g290350" 6 9 7 3 5 8 5 5
"8045" "PGEN_.00g332170" 3 9 4 10 13 0 2 9
"8046" "PGEN_.00g116710" 23 9 11 18 11 30 22 19
"8047" "PGEN_.00g218310" 6 3 2 3 3 5 4 4
"8048" "PGEN_.00g027150" 44 19 16 18 16 35 16 21
"8049" "PGEN_.00g315040" 72 15 21 7 53 7 32 12
"8050" "PGEN_.00g092440" 0 9 7 24 12 10 2 10
"8051" "PGEN_.00g328810" 8 8 0 4 10 9 8 10
"8052" "PGEN_.00g114400" 2 5 3 2 2 10 2 5
"8053" "PGEN_.00g266390" 26 14 13 26 15 27 21 12
"8054" "PGEN_.00g083260" 12 20 21 20 17 22 15 19
"8055" "PGEN_.00g111150" 38 6 9 21 7 11 8 33
"8056" "PGEN_.00g055810" 10 7 7 2 3 3 8 3
"8057" "PGEN_.00g196620" 8 2 3 5 0 3 4 6
"8058" "PGEN_.00g232580" 8 2 1 3 3 2 4 2
"8059" "PGEN_.00g304120" 83 24 39 51 51 91 136 47
"8060" "PGEN_.00g319960" 8 5 3 0 2 0 3 0
"8061" "PGEN_.00g026680" 158 93 258 119 166 270 149 206
"8062" "PGEN_.00g003950" 17 7 8 8 8 10 9 14
"8063" "PGEN_.00g278480" 6 3 1 0 0 0 5 3
"8064" "PGEN_.00g297810" 30 16 8 9 19 16 17 16
"8065" "PGEN_.00g192280" 10 9 7 5 10 16 17 7
"8066" "PGEN_.00g301510" 5 2 2 3 0 0 9 3
"8067" "PGEN_.00g233980" 25 39 20 53 56 46 57 47
"8068" "PGEN_.00g309060" 16 3 2 1 0 1 3 0
"8069" "PGEN_.00g021480" 19 25 13 17 25 23 25 36
"8070" "PGEN_.00g264530" 23 19 31 20 23 24 25 32
"8071" "PGEN_.00g169090" 74 37 30 38 49 70 86 50
"8072" "PGEN_.00g191390" 361 235 237 225 312 354 363 225
"8073" "PGEN_.00g279680" 110 86 82 106 116 144 122 104
"8074" "PGEN_.00g110400" 12 2 0 0 3 0 5 3
"8075" "PGEN_.00g115430" 24 11 10 14 20 29 33 12
"8076" "PGEN_.00g085690" 40 33 54 45 67 78 59 59
"8077" "PGEN_.00g019280" 12 3 4 4 8 7 5 8
"8078" "PGEN_.00g287120" 2 3 2 5 7 6 4 7
"8079" "PGEN_.00g237350" 7 6 7 24 83 7 0 3
"8080" "PGEN_.00g323660" 2 0 2 5 0 9 5 4
"8081" "PGEN_.00g134580" 9 0 0 2 6 11 9 0
