"X" "SG117" "SG137" "SG38" "SG97" "SG88" "SG87" "SG98" "SG37"
"151" "PGEN_.00g034990" 45 41 25 56 27 48 46 57
"152" "PGEN_.00g030670" 115 60 66 83 90 82 96 84
"153" "PGEN_.00g139170" 556 429 385 579 616 747 667 561
"154" "PGEN_.00g286080" 68 61 57 82 99 89 74 83
"155" "PGEN_.00g221730" 21 8 17 9 13 14 14 5
"156" "PGEN_.00g067290" 0 6 0 5 6 13 4 0
"157" "PGEN_.00g178960" 0 0 2 0 4 5 6 3
"158" "PGEN_.00g326550" 4 9 6 4 8 10 4 6
"159" "PGEN_.00g235740" 10 2 3 5 4 5 10 3
"160" "PGEN_.00g186690" 37 62 63 87 76 11 16 52
"161" "PGEN_.00g032120" 141 117 67 110 143 155 112 149
"162" "PGEN_.00g062910" 315 513 206 454 324 405 370 578
"163" "PGEN_.00g242070" 17 15 16 22 5 47 36 35
"164" "PGEN_.00g251200" 8 6 8 8 18 16 8 8
"165" "PGEN_.00g184270" 13 5 3 9 7 4 8 8
"166" "PGEN_.00g023590" 45 12 15 23 13 18 20 12
"167" "PGEN_.00g238240" 4 0 2 2 4 3 2 7
"168" "PGEN_.00g133230" 16 7 9 7 9 11 12 2
"169" "PGEN_.00g138220" 58 17 25 33 22 30 35 28
"170" "PGEN_.00g132540" 129 88 106 171 125 167 125 177
"171" "PGEN_.00g186520" 10 7 3 8 6 6 7 0
"172" "PGEN_.00g224510" 35 10 11 10 8 13 31 18
"173" "PGEN_.00g176510" 11 17 8 11 9 9 4 5
"174" "PGEN_.00g018810" 1 3 2 5 4 4 4 6
"175" "PGEN_.00g228610" 14 4 2 3 0 2 7 5
"176" "PGEN_.00g023040" 24 30 27 30 18 46 37 27
"177" "PGEN_.00g007170" 5 5 11 13 40 20 10 3
"178" "PGEN_.00g294230" 56 10 9 12 14 20 27 15
"179" "PGEN_.00g315360" 3 2 3 1 3 3 3 6
"180" "PGEN_.00g269440" 3 3 2 3 2 5 3 2
"181" "PGEN_.00g257530" 4 5 8 4 6 5 9 8
"182" "PGEN_.00g165650" 8 0 5 4 4 22 4 1
"183" "PGEN_.00g108110" 5 2 2 0 5 3 5 2
"184" "PGEN_.00g167770" 108 72 73 99 94 102 103 80
"185" "PGEN_.00g160200" 0 6 2 4 5 12 6 9
"186" "PGEN_.00g347630" 17 22 19 29 15 31 23 11
"187" "PGEN_.00g179770" 0 2 0 8 2 4 8 7
"188" "PGEN_.00g171560" 21 7 9 17 16 12 24 4
"189" "PGEN_.00g256260" 37 39 47 76 60 83 81 79
"190" "PGEN_.00g222910" 57 30 18 38 42 53 66 21
"191" "PGEN_.00g022310" 16 47 20 28 35 56 86 59
"192" "PGEN_.00g013900" 29 27 31 26 25 45 26 34
"193" "PGEN_.00g042470" 603 543 459 385 665 396 447 485
"194" "PGEN_.00g343290" 21 6 4 5 13 13 9 7
"195" "PGEN_.00g330030" 7 16 15 11 12 47 18 18
"196" "PGEN_.00g337270" 7 6 5 14 6 16 19 5
"197" "PGEN_.00g302240" 12 20 71 64 87 79 57 98
"198" "PGEN_.00g310240" 8 5 6 7 9 6 12 5
"199" "PGEN_.00g186570" 32 4 4 6 8 10 18 8
"200" "PGEN_.00g317730" 36 20 28 45 42 31 31 51
"201" "PGEN_.00g151200" 13 0 2 8 7 5 5 5
"202" "PGEN_.00g249840" 17 17 7 30 31 42 33 26
"203" "PGEN_.00g330240" 21 16 54 53 83 92 24 11
"204" "PGEN_.00g318810" 115 58 71 93 95 90 99 97
"205" "PGEN_.00g333910" 233 125 56 86 75 36 66 81
"206" "PGEN_.00g121860" 7 3 7 5 7 12 9 7
"207" "PGEN_.00g213360" 0 42 0 0 78 0 130 73
"208" "PGEN_.00g004880" 28 19 23 25 36 40 31 21
"209" "PGEN_.00g114970" 7 7 8 10 6 17 10 15
"210" "PGEN_.00g170380" 11 7 10 11 7 13 10 11
"211" "PGEN_.00g301920" 12 187 22 104 100 49 146 178
"212" "PGEN_.00g290150" 21 22 0 68 83 102 68 0
"213" "PGEN_.00g130050" 147 112 121 234 272 291 196 188
"214" "PGEN_.00g035380" 25 5 2 5 2 7 10 5
"215" "PGEN_.00g264900" 14 4 15 9 12 15 21 30
"216" "PGEN_.00g125580" 43 29 18 25 22 46 44 35
"217" "PGEN_.00g249150" 38 35 13 29 16 22 39 40
"218" "PGEN_.00g319070" 12 12 11 10 15 14 22 11
"219" "PGEN_.00g302780" 26 12 10 8 17 29 20 11
"220" "PGEN_.00g341100" 6 4 3 4 5 10 3 6
"221" "PGEN_.00g329070" 9 6 6 8 8 18 15 10
"222" "PGEN_.00g117400" 10 6 11 6 6 10 9 7
"223" "PGEN_.00g161660" 28 27 13 29 24 44 35 18
"224" "PGEN_.00g187310" 33 43 8 33 30 49 57 38
"225" "PGEN_.00g162310" 13 11 4 2 5 22 9 7
"226" "PGEN_.00g243000" 6 12 11 18 7 14 21 8
"227" "PGEN_.00g015410" 31 28 20 20 24 12 13 22
"228" "PGEN_.00g111800" 94 66 60 83 101 120 74 88
"229" "PGEN_.00g263300" 67 75 33 33 55 41 23 50
"230" "PGEN_.00g019740" 20 5 11 17 11 17 21 16
"231" "PGEN_.00g027220" 30 18 20 19 22 19 29 31
"232" "PGEN_.00g338620" 35 14 10 18 20 34 21 12
"233" "PGEN_.00g304830" 9 24 19 25 23 16 18 33
"234" "PGEN_.00g208930" 104 46 80 96 91 116 89 94
"235" "PGEN_.00g017810" 7 3 11 3 7 6 6 11
"236" "PGEN_.00g145810" 4 2 2 3 5 5 4 2
"237" "PGEN_.00g231090" 7 9 6 1 4 3 2 5
"238" "PGEN_.00g318380" 3 7 4 11 30 44 9 8
"239" "PGEN_.00g303430" 14 3 4 11 6 12 9 5
"240" "PGEN_.00g225360" 23 13 9 23 19 52 19 25
"241" "PGEN_.00g027590" 28 6 6 4 4 24 28 6
"242" "PGEN_.00g332130" 25 17 18 32 18 31 13 19
"243" "PGEN_.00g304780" 50 27 28 36 34 50 66 39
"244" "PGEN_.00g000760" 10 6 2 7 5 8 8 5
"245" "PGEN_.00g323730" 15 15 6 11 6 5 15 9
"246" "PGEN_.00g316570" 1 5 2 2 6 2 3 5
"247" "PGEN_.00g318030" 0 4 3 4 2 5 5 4
"248" "PGEN_.00g315000" 15 7 3 8 6 3 5 6
"249" "PGEN_.00g328850" 1 17 6 15 13 14 8 22
"250" "PGEN_.00g300200" 56 36 25 16 10 24 29 17
"251" "PGEN_.00g274960" 9 15 11 7 7 14 13 14
"252" "PGEN_.00g323080" 14 10 4 6 5 7 8 3
"253" "PGEN_.00g026170" 109 38 39 50 49 72 63 56
"254" "PGEN_.00g116460" 8 44 16 18 16 39 21 24
"255" "PGEN_.00g028310" 44 32 21 29 44 39 53 31
"256" "PGEN_.00g053260" 6 4 5 6 7 6 2 4
"257" "PGEN_.00g167230" 0 0 0 8 4 14 5 0
"258" "PGEN_.00g346220" 9 4 0 2 2 15 5 1
"259" "PGEN_.00g055850" 161 235 170 249 187 268 282 388
"260" "PGEN_.00g114190" 35 30 14 12 16 17 29 16
"261" "PGEN_.00g262160" 6 10 7 7 6 8 6 11
"262" "PGEN_.00g319920" 0 2 9 10 39 10 9 27
"263" "PGEN_.00g247650" 11 4 27 40 89 64 28 12
"264" "PGEN_.00g279820" 32 15 33 38 45 42 34 22
"265" "PGEN_.00g018590" 11 4 6 5 5 14 16 5
"266" "PGEN_.00g021330" 54 97 38 122 85 133 79 114
"267" "PGEN_.00g140940" 4 3 1 2 3 2 1 4
"268" "PGEN_.00g082600" 21 19 14 19 23 31 16 34
"269" "PGEN_.00g236040" 16 2 0 0 3 8 10 3
"270" "PGEN_.00g146730" 79 42 59 66 46 49 75 62
"271" "PGEN_.00g274340" 17 4 10 7 26 13 17 21
"272" "PGEN_.00g301550" 30 27 20 10 14 32 20 23
"273" "PGEN_.00g281850" 11 6 6 7 9 11 10 7
"274" "PGEN_.00g076150" 45 39 26 58 33 51 41 44
"275" "PGEN_.00g347170" 10 4 4 5 5 4 2 3
"276" "PGEN_.00g233630" 83 59 20 74 47 36 61 72
"277" "PGEN_.00g110440" 47 17 23 32 31 68 67 33
"278" "PGEN_.00g120870" 4 3 3 7 6 9 5 4
"279" "PGEN_.00g237390" 24 9 2 6 5 7 23 4
"280" "PGEN_.00g143760" 16 8 6 4 8 8 4 8
"281" "PGEN_.00g139370" 352 145 154 188 173 271 249 233
"282" "PGEN_.00g231770" 6 2 2 8 9 12 5 2
"283" "PGEN_.00g014730" 2 3 2 7 3 0 0 6
"284" "PGEN_.00g306520" 3 10 5 0 7 8 6 5
"285" "PGEN_.00g140490" 0 62 17 87 60 41 10 107
"286" "PGEN_.00g290110" 20 13 13 14 17 21 37 9
"287" "PGEN_.00g245240" 11 6 11 16 6 7 11 9
"288" "PGEN_.00g237020" 24 10 6 6 12 5 6 11
"289" "PGEN_.00g073500" 63 13 51 51 32 127 97 55
"290" "PGEN_.00g153480" 5 10 2 6 1 11 10 4
"291" "PGEN_.00g025520" 88 61 70 96 70 104 81 118
"292" "PGEN_.00g291860" 17 38 33 25 39 41 17 48
"293" "PGEN_.00g106210" 9 9 4 8 10 0 0 4
"294" "PGEN_.00g156050" 6 14 17 25 29 23 25 19
"295" "PGEN_.00g280810" 4 2 2 5 2 0 4 0
"296" "PGEN_.00g321620" 55 46 50 70 80 154 133 70
"297" "PGEN_.00g155880" 6 11 7 33 34 51 24 44
"298" "PGEN_.00g153730" 4 3 2 0 0 2 4 2
"299" "PGEN_.00g206930" 3 7 7 19 20 31 7 11
"300" "PGEN_.00g225480" 5 7 6 4 2 6 36 3
"301" "PGEN_.00g099750" 36 16 18 13 15 15 19 14
"302" "PGEN_.00g272930" 19 39 13 11 22 19 26 18
"303" "PGEN_.00g091560" 17 29 29 38 32 68 35 44
"304" "PGEN_.00g140230" 162 108 86 161 154 148 209 109
"305" "PGEN_.00g214470" 10 8 2 8 8 20 6 17
"306" "PGEN_.00g328060" 16 18 21 16 11 32 26 18
"307" "PGEN_.00g348410" 32 25 18 26 27 38 33 20
"308" "PGEN_.00g215700" 14 5 5 3 5 9 8 3
"309" "PGEN_.00g186320" 13 13 9 10 12 23 12 9
"310" "PGEN_.00g291240" 56 53 45 86 77 76 57 81
"311" "PGEN_.00g230550" 62 45 15 28 27 27 24 23
"312" "PGEN_.00g174000" 3 1 5 7 1 2 3 7
"313" "PGEN_.00g088520" 70 49 49 52 50 41 53 56
"314" "PGEN_.00g036380" 24 18 9 7 20 23 27 25
"315" "PGEN_.00g023200" 21 5 8 9 7 7 18 6
"316" "PGEN_.00g189360" 0 0 5 0 3 18 11 4
"317" "PGEN_.00g229850" 6 8 5 19 11 11 12 1
"318" "PGEN_.00g148380" 6 0 4 2 7 0 6 3
"319" "PGEN_.00g281030" 14 4 0 2 2 6 9 5
"320" "PGEN_.00g054660" 106 49 63 82 31 93 84 75
"321" "PGEN_.00g008750" 14 14 18 19 19 20 16 11
"322" "PGEN_.00g068890" 0 7 26 26 13 17 21 12
"323" "PGEN_.00g123440" 1 7 7 6 9 8 4 4
"324" "PGEN_.00g104100" 4 0 3 3 2 1 4 2
"325" "PGEN_.00g172310" 55 50 25 56 57 55 62 50
"326" "PGEN_.00g256060" 12 7 6 17 4 3 10 6
"327" "PGEN_.00g093870" 0 2 3 8 4 8 3 1
"328" "PGEN_.00g205650" 22 6 8 5 12 16 19 13
"329" "PGEN_.00g212160" 20 11 9 8 5 9 27 13
"330" "PGEN_.00g052670" 19 2 9 19 14 16 17 12
"331" "PGEN_.00g038090" 38 22 17 52 48 49 64 49
"332" "PGEN_.00g197270" 32 10 9 6 10 11 27 20
"333" "PGEN_.00g175340" 6 0 5 5 11 3 1 4
"334" "PGEN_.00g059660" 2 2 4 3 3 7 7 5
"335" "PGEN_.00g259260" 85 63 55 56 74 62 105 69
"336" "PGEN_.00g142400" 8 4 3 9 7 12 9 4
"337" "PGEN_.00g248360" 2 3 2 0 10 10 19 1
"338" "PGEN_.00g257080" 19 3 5 13 12 22 5 5
"339" "PGEN_.00g009930" 62 74 257 357 754 430 77 103
"340" "PGEN_.00g293830" 1 0 80 103 131 11 3 9
"341" "PGEN_.00g069410" 19 4 3 5 2 2 17 3
"342" "PGEN_.00g105270" 6 7 6 7 9 12 21 9
"343" "PGEN_.00g109550" 2 0 3 3 1 4 6 2
"344" "PGEN_.00g154020" 21 0 2 0 2 5 22 11
"345" "PGEN_.00g157590" 40 28 18 30 37 46 41 24
"346" "PGEN_.00g202340" 421 428 454 365 394 602 588 455
"347" "PGEN_.00g134170" 17 9 9 15 11 15 12 16
"348" "PGEN_.00g256930" 19 21 6 13 14 18 22 14
"349" "PGEN_.00g072590" 0 2 5 0 5 7 0 6
"350" "PGEN_.00g150610" 22 42 39 34 47 52 25 41
"351" "PGEN_.00g206100" 77 100 66 128 117 148 138 110
"352" "PGEN_.00g157040" 81 43 30 54 40 47 55 65
"353" "PGEN_.00g080030" 72 36 37 28 56 88 47 41
"354" "PGEN_.00g213610" 33 33 33 40 53 50 60 44
"355" "PGEN_.00g034810" 273 254 187 242 201 308 310 248
"356" "PGEN_.00g130690" 2 7 5 6 5 6 9 4
"357" "PGEN_.00g175660" 33 57 46 75 73 144 95 71
"358" "PGEN_.00g035140" 87 20 26 43 39 46 95 39
"359" "PGEN_.00g060430" 112 105 77 127 93 188 204 108
"360" "PGEN_.00g064390" 4 0 3 20 16 35 18 1
"361" "PGEN_.00g046970" 84 61 35 0 29 28 48 19
"362" "PGEN_.00g045400" 20 32 18 26 18 22 6 24
"363" "PGEN_.00g332680" 112 33 19 32 26 42 54 26
"364" "PGEN_.00g220790" 40 48 36 44 42 59 33 39
"365" "PGEN_.00g313720" 79 56 68 86 88 122 101 61
"366" "PGEN_.00g290870" 60 109 103 78 148 147 58 110
"367" "PGEN_.00g267240" 223 107 139 201 191 243 244 206
"368" "PGEN_.00g096960" 4 1 2 2 2 1 3 4
"369" "PGEN_.00g123250" 4 4 3 4 5 5 5 2
"370" "PGEN_.00g156310" 39 17 9 12 25 24 45 9
"371" "PGEN_.00g087560" 18 4 25 3 29 17 37 24
"372" "PGEN_.00g064970" 20 14 20 6 52 17 32 3
"373" "PGEN_.00g344440" 0 2 5 9 4 11 8 0
"374" "PGEN_.00g255620" 22 3 6 10 9 24 15 2
"375" "PGEN_.00g219460" 214 197 194 207 180 259 291 236
"376" "PGEN_.00g286430" 242 28 63 26 64 80 481 24
"377" "PGEN_.00g211610" 46 21 22 46 27 49 49 38
"378" "PGEN_.00g250050" 13 380 320 318 244 246 13 225
"379" "PGEN_.00g187440" 25 32 15 35 12 33 28 44
"380" "PGEN_.00g214130" 74 104 70 102 199 229 117 88
"381" "PGEN_.00g221670" 59 64 42 102 83 149 118 86
"382" "PGEN_.00g043800" 90 40 34 23 37 24 54 23
"383" "PGEN_.00g020270" 15 10 4 9 10 8 18 15
"384" "PGEN_.00g312090" 239 561 360 542 536 598 314 556
"385" "PGEN_.00g007030" 31 10 22 16 27 32 41 22
"386" "PGEN_.00g294700" 66 23 8 17 9 12 38 28
"387" "PGEN_.00g006920" 5 4 14 12 16 5 18 4
"388" "PGEN_.00g314730" 12 9 6 10 13 10 14 3
"389" "PGEN_.00g132990" 10 3 2 2 4 2 3 4
"390" "PGEN_.00g345310" 14 2 5 4 4 1 15 5
"391" "PGEN_.00g311010" 5 2 15 15 21 22 9 15
"392" "PGEN_.00g262360" 10 5 9 8 6 8 10 3
"393" "PGEN_.00g171480" 112 41 31 48 42 61 98 53
"394" "PGEN_.00g278650" 9 13 6 14 5 13 8 10
"395" "PGEN_.00g346750" 15 3 7 5 4 7 11 6
"396" "PGEN_.00g048970" 13 5 4 14 11 26 33 18
"397" "PGEN_.00g342040" 16 4 3 4 5 2 11 6
"398" "PGEN_.00g314190" 108 43 54 53 49 83 63 50
"399" "PGEN_.00g043110" 9 10 21 21 5 10 16 11
"400" "PGEN_.00g037170" 74 113 69 137 107 143 95 173
"401" "PGEN_.00g262980" 24 5 1 2 3 4 16 3
"402" "PGEN_.00g123880" 20 18 20 22 25 25 42 13
"403" "PGEN_.00g108320" 2 10 5 0 0 3 3 4
"404" "PGEN_.00g284730" 7 2 3 7 3 3 1 3
"405" "PGEN_.00g160070" 13 5 2 9 13 18 20 18
