"","SG117","SG137","SG38","SG97","SG88","SG87","SG98","SG37"
"PGEN_.00g200310",0,0,0,0,0,0,0,0
"PGEN_.00g141390",0,0,0,0,0,0,0,0
"PGEN_.00g155920",30,8,4,5,12,15,12,8
"PGEN_.00g043070",8,12,4,6,10,7,8,8
"PGEN_.00g215110",0,0,0,0,0,0,0,0
"PGEN_.00g063300",4,7,0,2,7,0,0,2
"PGEN_.00g161310",5,4,4,1,4,0,3,3
"PGEN_.00g090530",0,0,0,0,0,0,0,0
"PGEN_.00g282570",7,6,7,11,6,7,6,3
"PGEN_.00g212460",0,0,0,0,0,0,0,0
"PGEN_.00g096270",8,6,5,7,6,5,8,3
"PGEN_.00g162660",21,0,26,29,48,28,11,4
"PGEN_.00g251940",39,9,6,11,15,4,16,4
"PGEN_.00g131110",0,0,0,0,0,2,0,0
"PGEN_.00g269780",2,2,3,0,0,0,2,0
"PGEN_.00g188480",0,0,0,0,0,0,0,0
"PGEN_.00g059360",0,0,3,0,0,0,0,0
"PGEN_.00g118840",9,0,0,0,0,0,0,0
"PGEN_.00g092970",13,3,0,4,3,5,6,0
"PGEN_.00g141020",5,14,9,22,12,22,10,13
"PGEN_.00g169670",0,0,0,0,0,0,0,0
"PGEN_.00g329270",11,13,5,15,17,18,4,15
"PGEN_.00g051170",105,25,21,33,42,48,46,27
"PGEN_.00g132620",0,0,0,0,0,0,0,0
"PGEN_.00g165120",0,0,7,22,13,0,6,19
"PGEN_.00g338350",0,0,0,0,0,0,0,0
"PGEN_.00g233010",0,0,0,0,0,0,0,0
"PGEN_.00g052480",5,10,8,11,14,13,5,2
"PGEN_.00g135070",0,0,0,0,0,0,0,0
"PGEN_.00g203750",0,0,0,0,0,0,0,0
"PGEN_.00g258540",2293,444,294,397,460,238,570,420
"PGEN_.00g023900",0,0,0,0,0,0,0,0
"PGEN_.00g240040",4,4,2,4,0,2,4,0
"PGEN_.00g197080",71,52,64,74,79,103,107,48
"PGEN_.00g139900",8,10,13,2,6,9,16,10
"PGEN_.00g103270",0,0,0,0,1,1,0,0
"PGEN_.00g188730",6,9,2,3,4,0,7,2
"PGEN_.00g207040",4,0,0,0,0,0,0,0
"PGEN_.00g277190",0,0,0,0,0,0,0,0
"PGEN_.00g071200",0,0,0,0,0,0,0,0
"PGEN_.00g180440",0,0,0,0,0,0,0,0
"PGEN_.00g280590",0,0,0,0,0,0,0,0
"PGEN_.00g159400",64,93,46,88,73,105,124,111
"PGEN_.00g022050",0,0,0,0,0,0,0,0
"PGEN_.00g055700",77,305,161,219,220,246,171,220
"PGEN_.00g051280",0,0,0,0,0,0,0,0
"PGEN_.00g191860",0,1,1,1,0,0,0,1
"PGEN_.00g189280",12,4,0,0,0,2,3,2
"PGEN_.00g102890",0,0,0,0,0,0,0,0
"PGEN_.00g197330",333,216,238,369,267,490,393,439
"PGEN_.00g198500",0,0,0,0,0,0,0,0
"PGEN_.00g288030",5,4,0,0,0,0,0,4
"PGEN_.00g168780",0,0,0,0,0,0,0,0
"PGEN_.00g191010",0,0,0,0,0,0,0,2
"PGEN_.00g280620",0,0,0,0,0,0,0,0
"PGEN_.00g347350",0,0,0,0,0,0,0,0
"PGEN_.00g326940",0,0,0,0,0,0,0,0
"PGEN_.00g078200",0,0,0,0,0,0,0,0
"PGEN_.00g296410",0,0,0,0,0,0,0,0
"PGEN_.00g309980",0,0,0,0,0,0,0,0
"PGEN_.00g323530",0,0,0,2,1,2,0,2
"PGEN_.00g029350",0,0,0,0,1,0,0,2
"PGEN_.00g104800",0,0,0,0,2,0,0,0
"PGEN_.00g103850",11,24,12,11,19,11,1,5
"PGEN_.00g024220",52,18,19,37,28,31,63,16
"PGEN_.00g324540",3,3,1,1,0,0,0,0
"PGEN_.00g065070",13,2,2,5,1,3,6,2
"PGEN_.00g069590",4,2,4,5,12,16,4,8
"PGEN_.00g294360",4,8,20,21,6,9,11,6
"PGEN_.00g227080",2,0,0,0,0,0,0,0
"PGEN_.00g051820",0,0,0,0,0,0,0,0
"PGEN_.00g150400",0,0,0,0,0,0,0,0
"PGEN_.00g154380",0,0,0,0,0,0,0,0
"PGEN_.00g206310",0,0,0,0,0,0,0,0
"PGEN_.00g032900",3,2,2,2,5,4,0,0
"PGEN_.00g297910",1,2,2,0,2,2,2,0
"PGEN_.00g176960",16,8,0,1,0,0,0,0
"PGEN_.00g026370",13,2,4,4,1,3,8,3
"PGEN_.00g052730",19,19,14,25,13,18,20,11
"PGEN_.00g190730",0,0,0,3,4,2,0,2
"PGEN_.00g204800",3,2,0,1,4,1,4,1
"PGEN_.00g171990",0,0,0,0,0,0,0,0
"PGEN_.00g201830",0,0,0,0,0,0,0,0
"PGEN_.00g004520",0,0,0,0,0,0,0,0
"PGEN_.00g053460",0,0,0,0,0,0,0,0
"PGEN_.00g184590",15,7,2,5,3,6,6,1
"PGEN_.00g252550",18,43,33,4,35,33,6,27
"PGEN_.00g196060",0,0,0,0,0,0,0,0
"PGEN_.00g109980",0,0,0,0,0,0,0,0
"PGEN_.00g317270",0,0,0,0,0,0,0,0
"PGEN_.00g247490",0,0,3,1,1,3,8,0
"PGEN_.00g075430",0,23,29,71,20,22,21,0
"PGEN_.00g004290",0,0,0,0,0,0,0,0
"PGEN_.00g293110",0,0,0,0,0,0,1,0
"PGEN_.00g246720",0,0,0,0,0,0,0,0
"PGEN_.00g318920",9,3,7,10,5,14,10,9
"PGEN_.00g154960",136,45,59,112,83,93,136,75
"PGEN_.00g325630",18,20,14,30,34,45,26,26
"PGEN_.00g068240",10,8,2,3,4,4,0,5
"PGEN_.00g257450",50,55,47,65,89,87,95,81
"PGEN_.00g073870",0,0,2,0,0,0,0,0
"PGEN_.00g029820",9,0,0,2,0,0,6,0
"PGEN_.00g284620",5,6,3,0,2,8,3,8
"PGEN_.00g320040",3,2,0,0,0,0,5,0
"PGEN_.00g213400",8,6,7,6,2,5,11,7
"PGEN_.00g061790",0,0,0,0,0,0,0,0
