"","SG117","SG137","SG38","SG97","SG88","SG87","SG98","SG37"
"PGEN_.00g208010",27,15,14,26,26,20,22,20
"PGEN_.00g044870",12,9,2,16,3,5,13,3
"PGEN_.00g155570",16,11,30,51,35,51,45,46
"PGEN_.00g149140",27,17,30,31,26,41,34,18
"PGEN_.00g198390",38,24,16,23,24,30,30,25
"PGEN_.00g329600",26,30,26,42,30,47,46,34
"PGEN_.00g068700",8,6,3,19,20,32,25,14
"PGEN_.00g269040",28,8,4,9,11,27,13,9
"PGEN_.00g119890",226,137,144,183,133,201,195,139
"PGEN_.00g017170",50,24,36,53,57,110,74,45
"PGEN_.00g017990",84,60,59,67,84,139,134,88
"PGEN_.00g115120",62,21,44,30,19,9,32,17
"PGEN_.00g243270",142,126,83,149,166,202,155,155
"PGEN_.00g251360",32,23,15,34,21,46,32,24
"PGEN_.00g167910",25,22,17,26,22,32,16,23
"PGEN_.00g083050",13,18,8,5,11,16,4,2
"PGEN_.00g182480",15,168,3,210,6,213,279,234
"PGEN_.00g025300",255,164,161,289,187,229,362,127
"PGEN_.00g197700",18,28,6,27,22,27,26,25
"PGEN_.00g273790",38,20,24,20,21,29,25,29
"PGEN_.00g084880",7,12,8,15,9,15,17,14
"PGEN_.00g026450",3,25,5,12,12,30,9,10
"PGEN_.00g191700",21,11,12,38,8,37,44,31
"PGEN_.00g075800",104,43,72,76,78,70,79,67
"PGEN_.00g324110",16,21,19,33,28,54,20,34
"PGEN_.00g055050",112,81,54,106,87,139,139,96
"PGEN_.00g280370",20,26,11,21,21,34,20,20
"PGEN_.00g346410",89,36,39,46,58,39,69,37
"PGEN_.00g205860",37,8,42,41,35,62,49,49
"PGEN_.00g055060",57,33,38,61,39,52,56,35
"PGEN_.00g278760",503,179,288,381,215,226,287,384
"PGEN_.00g152980",32,8,19,26,23,24,34,29
"PGEN_.00g113560",185,126,155,111,121,114,122,119
"PGEN_.00g325240",51,68,49,100,70,111,150,113
"PGEN_.00g188970",16,23,12,17,18,16,21,13
"PGEN_.00g275060",79,113,66,125,96,159,88,136
"PGEN_.00g320740",104,30,31,28,23,36,30,33
"PGEN_.00g106000",29,13,15,7,15,1,0,3
"PGEN_.00g113380",5,38,12,37,27,18,16,38
"PGEN_.00g098630",2520,1675,1618,1532,1841,1960,1925,1471
"PGEN_.00g259800",33,14,10,29,27,20,42,22
"PGEN_.00g031750",3,17,12,7,12,6,15,13
"PGEN_.00g025480",6,16,23,18,59,9,17,8
"PGEN_.00g033440",65,71,60,70,67,67,71,74
"PGEN_.00g193830",47,24,16,20,25,31,51,30
"PGEN_.00g275680",27,14,10,11,11,10,19,17
"PGEN_.00g209000",28,20,18,18,23,14,14,19
"PGEN_.00g008090",67,39,53,61,44,48,71,38
"PGEN_.00g311250",10,12,8,5,10,14,17,9
"PGEN_.00g119400",32,9,15,7,21,41,29,21
"PGEN_.00g215570",45,77,42,70,43,30,49,66
"PGEN_.00g063720",8,12,7,9,10,13,12,22
"PGEN_.00g204400",38,16,9,28,27,39,38,27
"PGEN_.00g187840",18,9,8,8,6,6,22,10
"PGEN_.00g054140",13,9,7,9,2,2,2,9
"PGEN_.00g150010",106,28,38,29,39,25,40,20
"PGEN_.00g132240",8,19,12,16,8,17,12,14
"PGEN_.00g032470",8,5,5,9,13,13,27,9
"PGEN_.00g029590",9,16,21,50,52,98,70,20
"PGEN_.00g008540",69,80,54,54,97,96,121,105
"PGEN_.00g108520",249,176,172,160,152,114,147,195
"PGEN_.00g142230",43,36,28,39,29,64,48,54
"PGEN_.00g074810",41,29,30,28,27,16,28,22
"PGEN_.00g104310",28,22,7,8,14,17,25,22
"PGEN_.00g125310",23,21,19,36,20,14,25,7
"PGEN_.00g205440",19,10,14,14,8,26,2,23
"PGEN_.00g273560",9,17,31,22,34,17,20,21
"PGEN_.00g116940",133,51,63,122,52,84,161,38
"PGEN_.00g184450",13,7,10,11,9,12,23,5
"PGEN_.00g183780",5,7,6,22,11,12,7,10
"PGEN_.00g260070",2,5,12,22,36,53,16,10
"PGEN_.00g164800",41,10,17,18,11,7,23,9
"PGEN_.00g121120",22,3,8,15,13,18,23,5
"PGEN_.00g213860",16,36,15,30,13,39,22,32
"PGEN_.00g312440",67,63,67,51,47,76,106,77
"PGEN_.00g064580",79,161,111,176,196,235,201,283
"PGEN_.00g040150",167,198,130,113,161,118,185,99
"PGEN_.00g133920",114,93,67,109,113,162,156,92
"PGEN_.00g272080",12,13,15,17,15,13,10,7
"PGEN_.00g001880",15,9,7,8,1,12,6,6
"PGEN_.00g087330",42,37,20,50,38,46,54,28
"PGEN_.00g234180",145,97,94,119,118,173,125,107
"PGEN_.00g215960",122,93,103,94,118,124,103,99
"PGEN_.00g238370",18,4,11,8,11,11,14,8
"PGEN_.00g040840",16,10,10,15,7,10,26,13
"PGEN_.00g172320",129,60,56,100,86,81,75,97
"PGEN_.00g083520",29,39,23,27,30,21,19,21
"PGEN_.00g049490",138,190,180,178,193,217,231,182
"PGEN_.00g274530",246,375,456,244,272,352,345,211
"PGEN_.00g122180",35,14,18,18,21,18,26,31
"PGEN_.00g290700",33,48,18,37,20,25,42,41
"PGEN_.00g235320",34,8,11,17,22,27,42,13
"PGEN_.00g160910",18,18,13,13,17,18,24,21
"PGEN_.00g331060",67,42,36,44,52,44,39,36
"PGEN_.00g056370",27,21,17,18,6,13,12,5
"PGEN_.00g048720",863,1395,1038,1104,896,902,695,879
"PGEN_.00g305400",29,10,3,5,3,9,16,9
"PGEN_.00g147610",51,57,22,62,62,91,73,61
"PGEN_.00g220000",9,5,6,11,7,21,23,9
"PGEN_.00g041490",35,20,22,21,25,15,44,12
"PGEN_.00g306170",38,199,204,279,833,471,115,219
"PGEN_.00g140040",14,14,12,8,21,9,9,8
"PGEN_.00g236740",13,8,16,14,28,24,18,20
"PGEN_.00g114260",54,50,37,54,57,71,44,69
"PGEN_.00g153210",26,9,8,9,12,17,22,17
"PGEN_.00g179310",0,2,41,113,65,222,181,40
"PGEN_.00g230740",127,38,38,30,72,61,105,53
"PGEN_.00g231830",37,15,32,33,30,57,53,19
"PGEN_.00g015120",65,23,21,25,34,35,42,26
"PGEN_.00g282060",117,74,43,45,75,106,53,73
"PGEN_.00g285590",6,7,30,36,68,42,6,7
"PGEN_.00g071280",58,56,43,53,53,57,56,51
"PGEN_.00g155300",27,22,35,12,43,41,14,15
"PGEN_.00g248130",9,56,118,201,451,641,58,120
"PGEN_.00g161970",25,16,8,12,17,27,18,16
"PGEN_.00g332620",13,11,9,26,8,12,9,17
"PGEN_.00g240440",104,117,53,132,98,172,140,129
"PGEN_.00g014830",14,22,19,15,20,34,27,32
"PGEN_.00g088950",92,155,88,162,154,159,133,126
"PGEN_.00g091260",33,71,41,65,54,53,47,64
"PGEN_.00g337050",35,24,22,13,24,59,24,29
"PGEN_.00g322440",33,9,12,11,12,19,16,18
"PGEN_.00g112850",23,10,12,2,13,6,13,13
"PGEN_.00g052400",3365,2321,2198,2249,2548,2815,2897,2585
"PGEN_.00g230290",33,17,12,19,41,22,39,18
"PGEN_.00g149260",13,13,8,13,19,23,16,14
"PGEN_.00g145560",24,27,17,19,32,38,26,19
"PGEN_.00g142030",44,27,37,54,47,44,41,58
"PGEN_.00g189460",23,14,31,25,20,54,27,31
"PGEN_.00g198580",221,112,95,190,164,218,230,237
"PGEN_.00g273320",180,111,98,208,142,213,201,185
"PGEN_.00g146200",19,12,5,12,9,21,16,18
"PGEN_.00g248860",37,9,10,4,16,17,14,4
"PGEN_.00g269230",14,6,8,14,4,11,11,5
"PGEN_.00g053750",5,0,13,23,86,81,21,13
"PGEN_.00g331540",8,10,8,12,18,13,7,5
"PGEN_.00g025110",16,17,11,23,15,17,13,24
"PGEN_.00g061710",37,42,39,47,48,38,39,49
"PGEN_.00g277800",44,15,18,15,32,23,48,23
"PGEN_.00g057920",38,43,35,77,37,57,48,47
"PGEN_.00g012200",34,33,39,73,44,44,64,40
"PGEN_.00g013150",193,192,151,156,179,264,170,198
"PGEN_.00g110280",14,2,6,15,15,12,19,7
"PGEN_.00g293190",12,5,7,6,9,19,18,10
"PGEN_.00g072160",21,7,18,21,9,30,21,21
"PGEN_.00g300620",14,22,16,11,27,19,23,14
"PGEN_.00g275180",60,19,24,34,51,56,50,39
"PGEN_.00g254100",36,26,29,42,39,39,38,26
"PGEN_.00g201250",20,114,58,52,78,78,69,80
"PGEN_.00g088130",11,89,53,88,105,72,53,109
"PGEN_.00g270000",6,10,51,67,78,201,63,30
"PGEN_.00g064740",184,88,101,177,160,243,168,170
"PGEN_.00g067210",18,11,10,18,8,22,22,8
"PGEN_.00g143580",24,20,9,19,10,27,18,8
"PGEN_.00g217810",122,50,98,145,106,202,124,96
"PGEN_.00g110820",32,35,57,47,52,81,58,58
"PGEN_.00g180610",25,13,17,16,28,14,15,9
"PGEN_.00g272010",130,80,80,115,134,152,154,106
"PGEN_.00g297430",7,7,4,10,12,7,13,24
"PGEN_.00g241270",46,24,10,27,20,16,20,23
"PGEN_.00g291770",244,89,116,142,115,181,206,140
"PGEN_.00g286000",31,13,11,20,19,17,23,25
"PGEN_.00g271750",21,18,15,17,22,16,33,25
"PGEN_.00g096480",73,85,87,109,89,117,77,138
"PGEN_.00g062370",17,19,20,27,33,39,40,35
"PGEN_.00g133410",45,27,29,38,28,51,58,22
"PGEN_.00g185140",32,36,20,36,21,32,19,22
"PGEN_.00g205960",6,6,2,10,11,11,6,21
"PGEN_.00g229340",23,8,3,17,13,5,6,6
"PGEN_.00g145040",70,35,47,57,62,89,72,50
"PGEN_.00g022390",51,15,9,6,20,24,31,11
"PGEN_.00g095820",51,54,46,63,15,45,46,50
"PGEN_.00g078490",9,12,18,22,12,16,20,10
"PGEN_.00g099330",20,12,14,22,26,30,33,23
