"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_terms"
"52","crg:105333437","crg00071","Fatty acid degradation","105319102/105319409/105321895/105332999/105333323/105333437/105335621/105336470/105342925/105346656/105348652/105326193",12,"105333437","long-chain specific acyl-CoA dehydrogenase, mitochondrial"
"53","crg:105333773","crg04144","Endocytosis","105317810/105318103/105318650/105320540/105326718/105327720/105328080/105333773/105334470/105335021/105337075/105337930/105339937/105339958/105342074/105342447/105342463/105347356/105333224",19,"105333773","charged multivesicular body protein 2b"
"54","crg:105334333","crg04142","Lysosome","105318146/105318218/105319353/105320723/105323285/105325272/105326821/105328336/105328916/105329422/105329527/105331028/105331657/105334333/105335927/105336087/105339958/105340763/105342463/105347059/105339566",21,"105334333","galactocerebrosidase"
"55","crg:105334470","crg04144","Endocytosis","105317810/105318103/105318650/105320540/105326718/105327720/105328080/105333773/105334470/105335021/105337075/105337930/105339937/105339958/105342074/105342447/105342463/105347356/105333224",19,"105334470","arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2"
"56","crg:105335021","crg04144","Endocytosis","105317810/105318103/105318650/105320540/105326718/105327720/105328080/105333773/105334470/105335021/105337075/105337930/105339937/105339958/105342074/105342447/105342463/105347356/105333224",19,"105335021","sorting nexin-2"
"57","crg:105335621","crg00071","Fatty acid degradation","105319102/105319409/105321895/105332999/105333323/105333437/105335621/105336470/105342925/105346656/105348652/105326193",12,"105335621","enoyl-CoA delta isomerase 3"
"58","crg:105335927","crg04142","Lysosome","105318146/105318218/105319353/105320723/105323285/105325272/105326821/105328336/105328916/105329422/105329527/105331028/105331657/105334333/105335927/105336087/105339958/105340763/105342463/105347059/105339566",21,"105335927","cathepsin O"
"59","crg:105336087","crg04142","Lysosome","105318146/105318218/105319353/105320723/105323285/105325272/105326821/105328336/105328916/105329422/105329527/105331028/105331657/105334333/105335927/105336087/105339958/105340763/105342463/105347059/105339566",21,"105336087","lysosome-associated membrane glycoprotein 1"
"60","crg:105336470","crg00830","Retinol metabolism","105320167/105321989/105323007/105331361/105336470/105336995",6,"105336470","alcohol dehydrogenase class-3"
"61","crg:105336470","crg00071","Fatty acid degradation","105319102/105319409/105321895/105332999/105333323/105333437/105335621/105336470/105342925/105346656/105348652/105326193",12,"105336470","alcohol dehydrogenase class-3"
"62","crg:105336995","crg00830","Retinol metabolism","105320167/105321989/105323007/105331361/105336470/105336995",6,"105336995","dehydrogenase/reductase SDR family member 4"
"63","crg:105336995","crg04146","Peroxisome","105317035/105319409/105320492/105320624/105325181/105329358/105332999/105336995/105338951/105339902/105342001/105342925/105346656",13,"105336995","dehydrogenase/reductase SDR family member 4"
"64","crg:105337075","crg04144","Endocytosis","105317810/105318103/105318650/105320540/105326718/105327720/105328080/105333773/105334470/105335021/105337075/105337930/105339937/105339958/105342074/105342447/105342463/105347356/105333224",19,"105337075","arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1"
