"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG15","SG93","SG102","SG2","SG10","SG9","SG118","SG81","SG5","SG101","SG65","SG107","SG109","SG3","SG66","SG12","SG27","SG6","SG91","SG82","SG11","SG16","SG131","SG79","SG1","SG64","SG4","SG13","SG14","SG46","SG108","SG78","SG7","SG80","SG8","up","down"
"462","PGEN_.00g188760",415.064553996294,6.19259323683012,1.36023625438612,4.55258652080617,5.29903566121639e-06,0.00122201650165051,120,379,16,516,792,1026,694,124,70,243,527,408,111,46,267,1155,170,76,223,107,2106,245,17,226,290,103,278,29,213,599,111,128,2269,54,645,TRUE,FALSE
"463","PGEN_.00g212430",73.5009427444968,-1.39225725740027,0.432800088019486,-3.21685992202845,0.00129601859102984,0.0380097907106376,172,111,97,98,51,26,121,51,61,63,76,54,64,32,95,97,40,63,80,104,42,109,102,54,69,67,103,26,144,85,84,65,71,63,96,FALSE,TRUE
"464","PGEN_.00g158320",58.8802912517656,1.32310039568436,0.405514827087897,3.26276699963322,0.00110330188779139,0.0345387795182151,63,51,50,81,79,71,55,35,33,74,61,67,44,65,92,78,38,41,70,57,55,60,56,56,74,70,58,27,66,57,78,48,108,36,63,TRUE,FALSE
"465","PGEN_.00g012250",7.30525972396279,4.98117784111145,1.25963854057615,3.95445017015206,7.67108567045368e-05,0.00677253745666142,4,8,3,7,26,7,3,2,7,10,7,9,9,2,2,34,2,4,11,0,28,4,0,6,7,2,4,3,2,11,3,5,17,0,11,TRUE,FALSE
"466","PGEN_.00g191540",255.895713562916,-4.42471426550587,0.961309166477426,-4.60280045151299,4.16847582128871e-06,0.00105130630954258,163,125,415,138,204,94,89,262,2046,135,188,51,387,143,258,162,264,466,349,182,176,202,353,129,93,31,231,302,174,64,241,80,148,234,137,FALSE,TRUE
"467","PGEN_.00g181310",26.1587124648512,4.5843965378921,1.339180747524,3.42328438216286,0.00061869313531818,0.0230676215991536,11,22,3,41,45,35,32,13,8,19,48,20,18,6,4,63,16,11,16,6,93,20,0,21,26,2,26,3,16,22,8,12,172,8,44,TRUE,FALSE
"468","PGEN_.00g105790",9.23385268694611,6.73080315104181,1.48784028244542,4.52387479385827,6.07176516521805e-06,0.00127541500676755,2,1,2,3,30,65,3,4,2,20,5,13,2,2,3,5,1,10,12,1,47,9,2,6,20,1,4,1,4,4,1,2,4,2,15,TRUE,FALSE
"469","PGEN_.00g263590",28.9162397382442,5.12809167462446,1.22080732156875,4.20057414796205,2.66238954929352e-05,0.00325412201444699,13,4,0,50,51,41,68,13,7,6,25,83,16,19,32,100,10,14,36,9,42,16,8,5,48,19,6,14,14,29,8,11,170,6,54,TRUE,FALSE
"470","PGEN_.00g146090",28.8474599516071,2.75844088380479,0.889844215936014,3.09991438321957,0.00193576588973656,0.0484429027955243,16,36,16,36,72,19,30,21,10,25,29,19,37,13,27,61,4,18,27,11,84,16,24,42,25,10,32,6,23,30,19,21,95,20,57,TRUE,FALSE
"471","PGEN_.00g003940",40.3501509688955,3.99269184133161,1.19089954544076,3.3526688767472,0.000800363971789219,0.0278405936890814,10,29,6,35,91,53,65,22,10,55,40,19,24,6,26,105,60,13,27,18,163,22,10,47,34,18,23,13,14,41,16,13,174,10,51,TRUE,FALSE
"472","PGEN_.00g291230",221.111970463683,-7.84826204726442,1.64938111733801,-4.75830720066141,1.9522323430632e-06,0.000759723417755189,18,89,395,10,25,116,78,102,307,83,10,44,503,74,219,26,900,531,17,230,26,9,325,68,149,29,25,1271,28,10,25,19,9,368,124,FALSE,TRUE
"473","PGEN_.00g209970",140.478725263051,6.46471835794839,1.90304765619816,3.39703440262939,0.00068120402264138,0.0245958829394015,22,517,3,48,265,35,155,34,60,8,289,26,13,6,165,47,20,71,3506,13,5,31,8,15,90,6,15,7,11,22,10,251,22,14,22,TRUE,FALSE
"474","PGEN_.00g078540",112.930053465699,6.49303536723099,1.37586933640887,4.71922383573019,2.36746206826798e-06,0.000786477098180039,26,53,12,141,153,327,105,21,12,34,92,164,44,20,72,136,61,27,60,14,803,38,2,62,226,70,86,30,62,79,40,40,525,17,55,TRUE,FALSE
