"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG25","SG60","SG90","SG128","SG89","SG40","SG43","SG44","SG77","SG19","SG57","SG20","SG62","SG41","SG21","SG129","SG61","SG45","SG58","SG26","SG22","SG140","SG63","SG100","SG17","SG138","SG59","SG42","SG139","SG99","SG130","SG24","SG18","SG127","SG23","SG39","up","down"
"128","PGEN_.00g155710",37.0310632932044,-1.25157288537503,0.332467087783958,-3.7645016044064,0.00016688159686555,0.0176978989688554,50,70,63,60,66,70,38,50,32,52,80,24,15,34,9,63,54,40,64,36,27,30,26,22,25,25,14,27,27,34,10,55,34,38,16,17,FALSE,TRUE
"129","PGEN_.00g046020",33.0000747207071,-2.55808709387947,0.678601917818427,-3.76964318359608,0.000163481100153625,0.0176978989688554,54,95,54,48,121,35,14,26,37,29,37,160,17,11,14,21,17,11,78,25,70,4,6,17,10,15,10,4,9,30,2,51,40,7,3,4,FALSE,TRUE
"130","PGEN_.00g012750",9.7738183416196,-2.84507555961727,0.697425723768012,-4.07939578747693,4.51529055624849e-05,0.00879746611168602,11,12,9,16,32,18,4,8,15,17,24,22,1,6,11,12,2,2,21,17,9,1,0,5,0,6,6,0,4,20,3,2,14,16,0,2,FALSE,TRUE
"131","PGEN_.00g122870",24.7441800628573,-1.99842410133483,0.522680972347209,-3.82341085109811,0.000131618193343688,0.0153152392199085,51,67,40,25,100,28,7,17,53,12,49,54,8,14,10,30,19,14,29,24,21,5,6,9,11,26,9,13,13,41,10,16,38,9,3,20,FALSE,TRUE
"132","PGEN_.00g327850",23.7195605163261,-1.80590737470611,0.540153864167828,-3.34332029168824,0.000827822923802978,0.0453300683373944,48,56,28,21,63,28,6,22,46,22,54,33,6,10,25,34,10,27,48,23,20,10,7,9,10,12,10,7,23,29,5,12,36,9,3,27,FALSE,TRUE
"133","PGEN_.00g311950",240.543722631199,-1.65809215176352,0.451713580825816,-3.67067146560487,0.000241914121095901,0.0219531713244095,218,490,214,203,479,302,134,294,472,377,425,413,64,252,110,315,251,178,428,247,275,57,136,99,142,222,121,78,245,484,63,76,512,228,25,161,FALSE,TRUE
"134","PGEN_.00g057310",39.2508855832775,-2.09684274256768,0.557716632227832,-3.75969196792952,0.000170122694325834,0.017816099163273,26,40,50,12,97,63,13,23,93,39,55,88,9,22,57,63,20,15,70,25,59,3,16,14,14,63,16,6,28,85,8,5,60,36,9,47,FALSE,TRUE
"135","PGEN_.00g340090",50.9677598201609,-2.56954523938459,0.652534587273156,-3.93779163511061,8.22349549506364e-05,0.0116233075841439,91,121,70,45,339,68,9,33,88,38,68,90,8,23,30,57,24,44,157,50,35,8,7,11,14,33,13,15,39,60,15,19,63,25,5,30,FALSE,TRUE
"136","PGEN_.00g169810",15.4485783974613,-2.73393436874034,0.595721444880535,-4.58928311585057,4.44770848422093e-06,0.00248419344538686,31,12,29,13,64,18,11,14,18,46,40,29,2,9,3,19,10,10,27,21,4,4,5,6,7,38,8,3,5,23,7,2,16,20,1,1,FALSE,TRUE
"137","PGEN_.00g133820",38.5524470552217,-1.62353825509288,0.42625471303127,-3.80884528770894,0.000139617278380753,0.015806939976675,61,90,56,25,98,62,13,32,78,37,43,79,12,39,25,65,28,36,71,48,28,23,20,22,21,35,10,14,29,57,12,45,43,23,7,27,FALSE,TRUE
