"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG119","SG86","SG85","SG132","SG75","SG54","SG73","SG47","SG34","SG126","SG68","SG112","SG133","SG52","SG123","SG115","SG122","SG33","SG120","SG111","SG142","SG96","SG113","SG30","SG51","SG83","SG125","SG35","SG84","SG49","SG116","SG136","SG70","SG31","SG121","SG74","SG134","SG56","SG76","SG55","SG48","SG53","SG106","SG104","SG32","SG124","SG29","SG110","SG105","SG72","SG94","SG95","SG135","SG71","SG114","SG69","SG141","SG36","SG67","SG28","SG50","SG103","up","down"
"118","PGEN_.00g027390",5.71150758348598,7.75629279432493,1.97790239026958,3.92147399815203,8.80089467002699e-05,0.0112852341763379,8,20,7,11,2,6,2,4,3,0,27,4,3,0,1,0,1,6,5,1,1,2,3,0,1,3,1,13,10,27,6,0,1,6,6,2,16,6,1,3,31,4,2,2,10,1,8,3,2,14,7,11,11,3,8,11,2,10,3,12,3,6,TRUE,FALSE
"119","PGEN_.00g155100",5.42179190451943,5.43737438355552,1.47880075350815,3.67688099337011,0.000236103119429532,0.0219624624893569,6,8,6,14,0,6,2,7,1,3,6,4,8,4,1,4,5,9,4,13,5,10,0,7,2,2,6,10,12,11,2,0,7,10,1,3,7,4,2,7,12,10,4,3,13,4,4,7,7,6,0,6,4,1,5,6,5,14,2,4,2,13,TRUE,FALSE
"120","PGEN_.00g261960",4.88502846281871,7.92154204676035,1.86751280155038,4.2417605063719,2.21773275734477e-05,0.0045107919548959,15,18,9,7,3,2,0,8,3,2,7,6,9,0,0,0,2,2,6,6,4,3,5,0,2,0,6,3,14,29,4,4,3,13,6,2,20,5,0,3,5,0,3,13,2,7,7,3,0,2,4,8,6,4,2,3,4,8,6,6,0,7,TRUE,FALSE
"121","PGEN_.00g155150",7.95088154281552,6.14122207632651,1.67593474455483,3.66435632191501,0.000247961385737294,0.022501542058022,10,23,21,25,6,5,4,5,3,2,17,12,7,4,2,3,4,8,13,12,5,1,5,0,4,2,2,6,20,48,8,5,2,8,1,3,23,5,7,5,29,1,8,10,13,3,5,8,2,8,13,9,13,3,8,6,3,8,7,20,2,4,TRUE,FALSE
"122","PGEN_.00g235470",6.77994615037659,8.54056830422178,2.2819095292002,3.74272870809879,0.000182032725036699,0.0189063456829452,15,17,19,11,0,5,7,10,2,0,20,12,19,2,2,1,0,5,1,3,3,5,1,9,0,3,0,1,22,35,10,2,1,11,0,3,31,7,1,0,13,5,2,7,6,15,8,11,0,11,12,20,2,2,11,4,2,2,4,4,0,17,TRUE,FALSE
"123","PGEN_.00g059780",20.9048407226454,-2.74184386853406,0.812456852037466,-3.37475628602074,0.000738810876297007,0.0440675367774499,16,59,29,15,17,20,21,20,12,45,15,34,24,27,19,12,39,22,13,40,27,12,18,17,7,11,38,10,32,14,28,30,22,25,29,17,17,27,15,13,16,19,21,18,20,29,13,16,73,25,18,16,15,7,31,32,16,32,20,16,18,5,FALSE,TRUE
"124","PGEN_.00g156990",5.92318048993052,5.88453444851633,1.73166371052901,3.39819701292849,0.000678315526483184,0.0414615972327571,10,12,15,7,1,2,2,1,6,2,1,7,9,0,4,0,0,4,8,8,2,7,2,0,0,2,1,6,19,35,7,9,5,11,7,1,10,4,4,2,15,3,18,2,4,5,10,7,9,6,4,3,14,3,5,18,4,12,7,8,2,10,TRUE,FALSE
"125","PGEN_.00g149990",1219.22079925856,-17.5263381361703,3.71174047119286,-4.72186519294486,2.33691563225548e-06,0.000950641162541996,41,128,108,35,108,745,278,30,55,15308,44,5,1834,135,241,4414,4,48,1,5,17,94,817,7275,464,23,13,37,40,180,6,20,34,90,9,73,5,84,13,20862,43,2705,28,4,30,11810,880,95,2,71,63,213,3,36,918,47,392,168,80,25,299,657,FALSE,TRUE
"126","PGEN_.00g325090",14.3512604703787,6.10908646920649,1.51722141751823,4.02649632984968,5.6614122704338e-05,0.00834846006928845,22,31,21,28,11,11,7,11,3,5,26,19,47,9,3,6,4,12,18,19,0,10,10,13,0,6,11,12,51,47,11,8,15,14,7,3,26,10,10,5,31,14,27,15,10,44,14,17,9,8,18,79,6,6,17,7,7,7,5,11,11,9,TRUE,FALSE
"127","PGEN_.00g169020",38.7040533794809,5.57424854884161,1.65189709726944,3.37445265692141,0.000739626369579984,0.0440675367774499,62,127,149,55,45,32,17,33,10,1,147,68,28,12,12,3,5,22,24,39,18,23,27,7,7,27,11,54,133,265,59,15,33,77,30,10,168,31,28,14,200,9,53,57,59,19,15,6,20,28,36,25,57,29,16,18,5,44,15,30,17,8,TRUE,FALSE
