"","MEturquoise","MEgreen","MEred","MEblue","MEbrown","MEyellow"
"SG85",0.0154212568977499,-0.0956989147080494,-0.0521318553779462,0.0412416963902085,-0.0686791166081691,0.0584363926766363
"SG104",0.144724498599361,-0.0433349121427866,0.00347672383937618,-0.107771027453759,0.0114417819328438,-0.0515124843819178
"SG110",-0.38994071447074,-0.0329453730666268,-0.312829043980184,0.278649971398845,0.187431647030717,-0.0715528717687049
"SG111",0.107092623021284,0.0537917529955216,-0.0365722331153701,-0.104953157262749,0.0882553981920394,-0.0370713129496008
"SG119",0.0332044748680432,-0.0335091349064738,-0.0470057489713812,-0.122645018398251,0.174199032302681,0.0464992670684223
"SG120",0.022897744275159,-0.00132812827797387,-0.0691602231374482,-0.138686014689024,0.167135721240889,-0.0396641038804392
"SG132",-0.034073607955907,0.00609218781399501,0.0708506010660016,-0.0228664574150683,0.0842519641770862,0.0397848920858924
"SG28",0.121310545882504,0.120939475345909,0.10066812784595,-0.0566569891292442,-0.139516963542825,-0.0124244899169619
"SG31",0.062631240877602,-0.05204729729382,0.0233294152181356,-0.0866696219329764,-0.013775412426212,0.0189742379649633
"SG32",0.0972002593587308,0.182763133065565,0.132826348223628,-0.0563297834628127,-0.14504380789224,-0.0386494135173019
"SG33",0.0452778723817243,0.00220414248438428,0.017088053073523,0.0618866866056517,-0.127342809279544,-0.134589260132332
"SG34",0.071668895706882,0.0647764207920371,0.0512214523594333,-0.12976170930146,-0.00361868164934828,-0.13016148198384
"SG47",0.136772267983827,0.115990206188005,0.110899051572115,-0.0717287906566563,-0.0898287073825444,-0.0699374884728724
"SG67",0.103300923057268,0.0863664936556368,0.29966465641606,0.0104715296907631,-0.128381471675304,-0.126117716476368
"SG68",0.0507854562353111,0.0391276644319753,0.0898362969096952,-0.0803390729549023,-0.0375775757545564,0.0252376238580745
"SG69",0.0420005844521901,0.295920063918609,-0.151708606955436,-0.0227685495096535,-0.0788955838207372,-0.103768286629847
"SG70",0.0865445287571476,0.171531968242684,0.035232800627253,0.0533468170030536,-0.173593674553796,-0.128098994064915
"SG83",-0.0878270310299113,-0.042957688768134,0.117450077634973,0.107905279919453,0.0828135244856786,-0.0758431019500999
"SG94",0.140800380460314,0.0329347742106112,0.0103767881553983,-0.140789968996932,-0.00937420832178632,-0.0365026648122664
