"","MEturquoise","MEblack","MEpink","MEred","MEblue","MEbrown","MEgreen","MEyellow"
"SG24",-0.0452387539405832,0.0326723450151231,-0.0506608085140733,-0.113684181376152,0.0892156220361215,0.134423137500218,-0.0811609592147469,-0.10781751142078
"SG18",-0.00392164664406627,0.147084648402797,-0.0847290044133548,-0.0161253304105305,0.00639955645425188,0.0263216126887615,-0.0923579505505825,0.0933994620408741
"SG127",0.0787982360748398,-0.0664860820095355,-0.0979980610866088,-0.107574768476899,-0.0767889018825954,-0.051955361207881,0.0982756407802722,-0.0280814449843604
"SG23",0.0366336690127859,-0.0316661683168084,0.0808139888090142,-0.0203436134587465,0.0513104174841871,0.0338504721441901,-0.0900417405225483,-0.185957749885143
"SG39",-0.0562937956915244,0.211456927505272,0.23471651309629,0.0395204355166236,0.123680575669135,-0.0673700740912642,-0.149258174086008,0.076572856483705
"SG15",0.0867004780433694,-0.0417809352448322,0.029238806994019,0.0755081402597982,0.00244050145975886,-0.0771421638495157,-0.0616085892976257,-0.0531150162155062
"SG93",0.0280817664943812,-0.0584992616531257,0.0587753102287727,-0.0727896915454072,0.075181590727408,0.0443761599417638,-0.101825095331135,0.0575228229379152
"SG102",0.0617713962716154,0.0547353726176544,0.024018527690747,-0.0048379091514477,-0.0181896697209338,0.00572863436873174,0.006344768218836,-0.109698208531434
"SG2",0.0258308176276595,-0.0742707611367144,-0.079328852817521,0.0182839234497148,-0.0456816085369162,0.00399179006191676,-0.00129031640073073,0.094392682540455
"SG10",-0.0344117890906741,0.0651368253964279,0.0456092625565484,0.12954771983441,-0.0351174686864512,-0.111943929842342,-0.000628020214282471,0.273629150654625
"SG118",0.0226635951401828,-0.0737521272659658,0.0161834517376298,-0.0305367492391074,-0.072402043919165,-0.10784032965883,0.120612728739363,0.115821733152911
"SG81",-0.0787453011313676,0.0740486426472797,-0.054101462291363,-0.154743483998711,-0.0480127656050325,0.126227298207103,0.24222038592004,0.00923322404517987
"SG101",-0.158096861891054,0.16288249062691,0.231723246140281,0.219644592169144,0.201378773824144,-0.0524957212245214,-0.0462489030949923,0.0703521544785121
"SG65",0.0746984575288335,-0.0429615002959494,-0.116469978299301,-0.0274780145747055,-0.0455218131172006,-0.0634861978331658,-0.019109465097398,0.115809804879783
"SG107",-0.10062422572558,-0.240473694152235,-0.200792015197132,-0.173094471559147,0.0142972708603781,0.125311878400716,0.181833391538561,0.0676886230798295
"SG109",-0.167011368057382,0.332187613823402,0.0844777865862893,-0.0250848097804027,0.0228217084394451,0.0230899484304252,0.167731072388914,0.127900017739241
"SG66",-0.110851278219116,-0.102582397413386,0.0773700741447831,-0.0159386755789464,0.250951058430673,0.0724453841177096,0.0404810706143542,-0.0430515267939748
"SG12",0.0528482267061441,0.00346492066596704,0.0632298513365573,0.0240215409776195,-0.0182018628194134,-0.0733863580910507,-0.0479185340515758,0.205873266711636
